GEOID,Year,Score,Confidence,normalized_score,cumulative_score
18097321700,2024,5.8530531746599362E-2,High,0.3142121018398628,0.3142121018398628
18097321700,2025,0.22608361878234112,High,1.066659087988614,1.380871189828477
18097321700,2026,0.21282013382167167,High,1.0129798809101451,2.393851070738622
18097321700,2027,0.19145817672933449,High,0.9253192625928801,3.319170333331502
18097321700,2028,0.20819730652608054,High,0.9667204553496742,4.285890788681177
18097321800,2024,-0.12339045640211699,High,-0.5195078033530958,-0.5195078033530958
18097321800,2025,0.13648399688687166,High,0.6924711512404702,0.17296334788737444
18097321800,2026,5.2386194259955152E-2,High,0.36746362453118125,0.5404269724185558
18097321800,2027,0.105253990409263,High,0.5736479429269584,1.114074915345514
18097321800,2028,0.10345956280844321,High,0.5547350569181803,1.6688099722636944
18097321900,2024,-6.7866159310445318E-2,High,-0.26504726980909515,-0.26504726980909515
18097321900,2025,-1.1232669108742446E-2,High,0.07557352039222658,-0.18947374941686856
18097321900,2026,0.11844824991111197,High,0.6332685469131375,0.44379479749626893
18097321900,2027,0.10286776659131769,High,0.5639133057254737,1.0077081032217425
18097321900,2028,0.18875838156504346,High,0.8902575398724891,1.8979656430942318
18097322000,2024,-1.9350752540231532E-2,High,-0.04270755659362547,-0.04270755659362547
18097322000,2025,2.4252643138424675E-5,High,0.12258492775492427,0.07987737116129881
18097322000,2026,0.10400036178143526,High,0.5751365414065142,0.6550139125678129
18097322000,2027,-2.6841578084872433E-2,High,0.034762015486372894,0.6897759280541859
18097322000,2028,-3.7975837233145938E-2,High,-0.001600391700420841,0.688175536353765
18097322100,2024,0.14014038671412082,High,0.6882193081480877,0.6882193081480877
18097322100,2025,3.9522065767679221E-2,High,0.287536574720334,0.9757558828684217
18097322100,2026,0.13071866695354642,High,0.6826393576971856,1.6583952405656075
18097322100,2027,7.9876689738596324E-2,High,0.47012084990068514,2.1285160904662925
18097322100,2028,0.12324182947813769,High,0.6325485053132857,2.7610645957795783
18097322200,2024,0.11370067779894225,High,0.5670496078600034,0.5670496078600034
18097322200,2025,3.2920440491257537E-2,High,0.25996672019292855,0.8270163280529319
18097322200,2026,0.16018633861655099,High,0.8012044265851797,1.6282207546381116
18097322200,2027,0.10153351057134351,High,0.5584701875273118,2.1866909421654235
18097322200,2028,0.15396582386391744,High,0.7534011857238617,2.940092127889285
18097322300,2024,0.10253644419127868,High,0.5158853970690838,0.5158853970690838
18097322300,2025,-0.2459890722031336,High,-0.904821399296017,-0.38893600222693325
18097322300,2026,5.1263445023786089E-2,High,0.362946170894101,-0.02598983133283228
18097322300,2027,-5.3074873559639454E-3,High,0.12261067374437311,0.09662084241154083
18097322300,2028,-6.092835615106372E-2,High,-0.0918840116807928,0.004736830730748029
18097322400,2024,9.9291156583030546E-2,High,0.5010126718018887,0.5010126718018887
18097322400,2025,0.1753950667025298,High,0.8549724277299006,1.3559850995317893
18097322400,2026,0.15504589292238552,High,0.7805215132958716,2.136506612827661
18097322400,2027,0.17027398010220687,High,0.8388980027684052,2.975404615596066
18097322400,2028,0.15983713498695293,High,0.7764959590737646,3.751900574669831
18097322500,2024,0.20988780399134144,High,1.007862526402168,1.007862526402168
18097322500,2025,8.7492462543610816E-2,High,0.487871614253389,1.4957341406555569
18097322500,2026,8.6521172312738606E-2,High,0.5048079003396954,2.0005420409952523
18097322500,2027,7.7234186252705589E-2,High,0.45934071580540375,2.459882756800656
18097322500,2028,7.9058370339023604E-2,High,0.4587530866666621,2.9186358434673183
18097322601,2024,0.19490046714004947,High,0.9391775374632365,0.9391775374632365
18097322601,2025,0.51472803627607944,High,2.272102333740894,3.2112798712041304
18097322601,2026,-4.1288934124478219E-2,High,-0.009444268871740508,3.2018356023323897
18097322601,2027,0.332090504122726,High,1.4990310308183254,4.700866633150715
18097322601,2028,-4.465858101621685E-2,High,-0.02788693141724342,4.672979701733472
18097322602,2024,0.11533494298646252,High,0.5745392297616045,0.5745392297616045
18097322602,2025,0.1207235886783857,High,0.6266521834247136,1.2011914131863182
18097322602,2026,3.0839735556209068E-2,High,0.2807700645608753,1.4819614777471934
18097322602,2027,6.9580595920284538E-2,High,0.42811777493346886,1.9100792526806623
18097322602,2028,5.3307980019787385E-2,High,0.3574640533260427,2.267543306006705
18097322700,2024,3.1645438191861323E-2,High,0.19100126246581237,0.19100126246581237
18097322700,2025,-0.19016883679106619,High,-0.671703688799369,-0.48070242633355664
18097322700,2026,6.7145847667786418E-2,High,0.4268500376511379,-0.05385238868241879
18097322700,2027,0.15133643409887318,High,0.7616419891277334,0.7077896004453146
18097322700,2028,-0.16108399013833413,High,-0.4858457040831473,0.2219438963621673
18097330103,2024,-0.13752993285896248,Low,-0.5843071598816705,-0.5843071598816705
18097330103,2025,-0.16151604428142627,Low,-0.5520432584935023,-1.136350418375173
18097330103,2026,-0.17543228302034702,Low,-0.549178645737104,-1.6855290641122767
18097330103,2027,-0.16961444017407348,Low,-0.5476820973432085,-2.2332111614554853
18097330103,2028,-0.15287266609766315,Low,-0.45354650146077624,-2.6867576629162615
18097330105,2024,-3.4029557554914512E-2,High,-0.10997858480056945,-0.10997858480056945
18097330105,2025,-0.17656560314542571,High,-0.6148935614429887,-0.7248721462435581
18097330105,2026,-0.22143333812455493,High,-0.7342668444154622,-1.4591389906590204
18097330105,2027,-0.20779093808624685,High,-0.7034237147067651,-2.1625627053657857
18097330105,2028,-0.19924303374744787,High,-0.6359441139500589,-2.798506819315844
18097330106,2024,-6.2332260022061645E-2,High,-0.23968613893019403,-0.23968613893019403
18097330106,2025,-0.15613778793569424,High,-0.5295824645443948,-0.7692686034745888
18097330106,2026,-0.2749268399139625,High,-0.9495013833791847,-1.7187699868537736
18097330106,2027,-0.17621885521395028,High,-0.5746249112811687,-2.293394898134942
18097330106,2028,-0.21569390702626512,High,-0.7006535428698862,-2.9940484410048285
18097330107,2024,0.16933648684620742,Low,0.8220211859953476,0.8220211859953476
18097330107,2025,-1.4640789113558927E-2,Low,0.06134045371388564,0.8833616397092332
18097330107,2026,6.7377060898537566E-2,Low,0.42778033892995393,1.3111419786391871
18097330107,2027,-3.7714416695767056E-2,Low,-0.009593898837913346,1.3015480798012737
18097330107,2028,5.238610509172098E-3,Low,0.16838342539528586,1.4699315051965596
18097330108,2024,3.2418761580254848E-2,Low,0.19454530160398975,0.19454530160398975
18097330108,2025,-0.23364942333607303,Low,-0.8532882828376825,-0.6587429812336928
18097330108,2026,-9.4009111451768393E-2,Low,-0.22156728721136051,-0.8803102684450533
18097330108,2027,-0.22456647348256736,Low,-0.7718597724293215,-1.6521700408743747
18097330108,2028,-0.17101189690335883,Low,-0.5248970763869661,-2.1770671172613407
18097330109,2024,-0.28278928010499316,High,-1.2500115980927835,-1.2500115980927835
18097330109,2025,-0.23924143532914252,High,-0.8766417678825045,-2.126653365975288
18097330109,2026,-0.20492848927595633,High,-0.6678585253904873,-2.7945118913657754
18097330109,2027,-0.19649491058416912,High,-0.6573413947149194,-3.4518532860806945
18097330109,2028,-0.15760367012276516,High,-0.4721558824640299,-3.9240091685447247
18097330204,2024,-0.11763489397731094,High,-0.4931308195428563,-0.4931308195428563
18097330204,2025,-0.22323307771030776,High,-0.8097873082162959,-1.3029181277591522
18097330204,2026,-0.22596066445957619,High,-0.7524828325983404,-2.0554009603574928
