GEOID,NAME,variable,estimate,moe,year
18097380300,"Census Tract 3803, Marion County, Indiana",B19013_001,29630,8050,2015
18097380402,"Census Tract 3804.02, Marion County, Indiana",B19013_001,31216,3829,2015
18097380403,"Census Tract 3804.03, Marion County, Indiana",B19013_001,39246,6017,2015
18097380404,"Census Tract 3804.04, Marion County, Indiana",B19013_001,48678,5019,2015
18097380501,"Census Tract 3805.01, Marion County, Indiana",B19013_001,38719,8446,2015
18097380502,"Census Tract 3805.02, Marion County, Indiana",B19013_001,33827,3617,2015
18097380600,"Census Tract 3806, Marion County, Indiana",B19013_001,30755,4156,2015
18097380700,"Census Tract 3807, Marion County, Indiana",B19013_001,33384,6506,2015
18097380800,"Census Tract 3808, Marion County, Indiana",B19013_001,47200,10595,2015
18097380901,"Census Tract 3809.01, Marion County, Indiana",B19013_001,63125,4774,2015
18097380902,"Census Tract 3809.02, Marion County, Indiana",B19013_001,67936,10365,2015
18097381001,"Census Tract 3810.01, Marion County, Indiana",B19013_001,37092,5147,2015
18097381002,"Census Tract 3810.02, Marion County, Indiana",B19013_001,57557,8522,2015
18097381101,"Census Tract 3811.01, Marion County, Indiana",B19013_001,52864,3155,2015
18097381102,"Census Tract 3811.02, Marion County, Indiana",B19013_001,41915,3519,2015
18097381201,"Census Tract 3812.01, Marion County, Indiana",B19013_001,57350,6835,2015
18097381203,"Census Tract 3812.03, Marion County, Indiana",B19013_001,30801,2422,2015
18097381204,"Census Tract 3812.04, Marion County, Indiana",B19013_001,24810,5948,2015
18097381205,"Census Tract 3812.05, Marion County, Indiana",B19013_001,39005,7658,2015
18097390101,"Census Tract 3901.01, Marion County, Indiana",B19013_001,61908,3676,2015
18097390102,"Census Tract 3901.02, Marion County, Indiana",B19013_001,38899,6294,2015
18097390200,"Census Tract 3902, Marion County, Indiana",B19013_001,78750,16567,2015
18097390300,"Census Tract 3903, Marion County, Indiana",B19013_001,70938,7303,2015
18097390402,"Census Tract 3904.02, Marion County, Indiana",B19013_001,64736,9637,2015
18097390403,"Census Tract 3904.03, Marion County, Indiana",B19013_001,90890,10460,2015
18097390404,"Census Tract 3904.04, Marion County, Indiana",B19013_001,53889,6972,2015
18097390405,"Census Tract 3904.05, Marion County, Indiana",B19013_001,58639,3167,2015
18097390500,"Census Tract 3905, Marion County, Indiana",B19013_001,25313,2953,2015
18097390600,"Census Tract 3906, Marion County, Indiana",B19013_001,37080,4409,2015
18097390700,"Census Tract 3907, Marion County, Indiana",B19013_001,26136,7722,2015
18097390800,"Census Tract 3908, Marion County, Indiana",B19013_001,53429,10180,2015
18097390900,"Census Tract 3909, Marion County, Indiana",B19013_001,48687,6894,2015
18097391000,"Census Tract 3910, Marion County, Indiana",B19013_001,46331,10376,2015
18097310103,"Census Tract 3101.03, Marion County, Indiana",B19013_001,110909,19956,2016
18097310104,"Census Tract 3101.04, Marion County, Indiana",B19013_001,46801,4702,2016
18097310105,"Census Tract 3101.05, Marion County, Indiana",B19013_001,51039,3867,2016
18097310106,"Census Tract 3101.06, Marion County, Indiana",B19013_001,36507,2538,2016
18097310108,"Census Tract 3101.08, Marion County, Indiana",B19013_001,90000,10486,2016
18097310110,"Census Tract 3101.10, Marion County, Indiana",B19013_001,49934,6795,2016
18097310111,"Census Tract 3101.11, Marion County, Indiana",B19013_001,47370,6737,2016
18097310201,"Census Tract 3102.01, Marion County, Indiana",B19013_001,59063,10723,2016
18097310203,"Census Tract 3102.03, Marion County, Indiana",B19013_001,42009,6778,2016
18097310204,"Census Tract 3102.04, Marion County, Indiana",B19013_001,57152,4314,2016
18097310305,"Census Tract 3103.05, Marion County, Indiana",B19013_001,34070,6448,2016
18097310306,"Census Tract 3103.06, Marion County, Indiana",B19013_001,29215,2621,2016
18097310308,"Census Tract 3103.08, Marion County, Indiana",B19013_001,54762,9340,2016
18097310309,"Census Tract 3103.09, Marion County, Indiana",B19013_001,35387,3095,2016
18097310310,"Census Tract 3103.10, Marion County, Indiana",B19013_001,54905,6745,2016
18097310311,"Census Tract 3103.11, Marion County, Indiana",B19013_001,65638,5576,2016
18097310312,"Census Tract 3103.12, Marion County, Indiana",B19013_001,41250,3387,2016
18097320105,"Census Tract 3201.05, Marion County, Indiana",B19013_001,53469,6599,2016
18097320106,"Census Tract 3201.06, Marion County, Indiana",B19013_001,67125,20610,2016
18097320107,"Census Tract 3201.07, Marion County, Indiana",B19013_001,87031,14640,2016
18097320108,"Census Tract 3201.08, Marion County, Indiana",B19013_001,27624,7560,2016
18097320109,"Census Tract 3201.09, Marion County, Indiana",B19013_001,51211,12106,2016
18097320202,"Census Tract 3202.02, Marion County, Indiana",B19013_001,80913,10714,2016
18097320203,"Census Tract 3202.03, Marion County, Indiana",B19013_001,42996,6690,2016
18097320204,"Census Tract 3202.04, Marion County, Indiana",B19013_001,36898,5910,2016
18097320301,"Census Tract 3203.01, Marion County, Indiana",B19013_001,71447,12167,2016
18097320303,"Census Tract 3203.03, Marion County, Indiana",B19013_001,49856,9501,2016
18097320304,"Census Tract 3203.04, Marion County, Indiana",B19013_001,77214,15457,2016
18097320400,"Census Tract 3204, Marion County, Indiana",B19013_001,41292,5582,2016
18097320500,"Census Tract 3205, Marion County, Indiana",B19013_001,51277,4058,2016
18097320600,"Census Tract 3206, Marion County, Indiana",B19013_001,51094,11152,2016
18097320700,"Census Tract 3207, Marion County, Indiana",B19013_001,71786,10289,2016
18097320800,"Census Tract 3208, Marion County, Indiana",B19013_001,123958,13700,2016
18097320901,"Census Tract 3209.01, Marion County, Indiana",B19013_001,50168,9561,2016
18097320902,"Census Tract 3209.02, Marion County, Indiana",B19013_001,35332,5235,2016
18097320903,"Census Tract 3209.03, Marion County, Indiana",B19013_001,34943,4052,2016
18097321001,"Census Tract 3210.01, Marion County, Indiana",B19013_001,41471,10006,2016
18097321002,"Census Tract 3210.02, Marion County, Indiana",B19013_001,61563,15293,2016
18097321100,"Census Tract 3211, Marion County, Indiana",B19013_001,57146,8040,2016
18097321200,"Census Tract 3212, Marion County, Indiana",B19013_001,112311,12434,2016
18097321300,"Census Tract 3213, Marion County, Indiana",B19013_001,68810,11985,2016
18097321400,"Census Tract 3214, Marion County, Indiana",B19013_001,65596,10321,2016
18097321600,"Census Tract 3216, Marion County, Indiana",B19013_001,49800,18761,2016
18097321700,"Census Tract 3217, Marion County, Indiana",B19013_001,50460,5409,2016
18097321800,"Census Tract 3218, Marion County, Indiana",B19013_001,98621,18038,2016
18097321900,"Census Tract 3219, Marion County, Indiana",B19013_001,102557,19659,2016
18097322000,"Census Tract 3220, Marion County, Indiana",B19013_001,39732,10193,2016
18097322100,"Census Tract 3221, Marion County, Indiana",B19013_001,42880,9238,2016
18097322200,"Census Tract 3222, Marion County, Indiana",B19013_001,61321,4734,2016
18097322300,"Census Tract 3223, Marion County, Indiana",B19013_001,74194,6645,2016
18097322400,"Census Tract 3224, Marion County, Indiana",B19013_001,39444,5923,2016
18097322500,"Census Tract 3225, Marion County, Indiana",B19013_001,25644,6807,2016
18097322600,"Census Tract 3226, Marion County, Indiana",B19013_001,21419,3816,2016
18097322700,"Census Tract 3227, Marion County, Indiana",B19013_001,40521,12111,2016
18097330103,"Census Tract 3301.03, Marion County, Indiana",B19013_001,49558,5753,2016
18097330105,"Census Tract 3301.05, Marion County, Indiana",B19013_001,51809,4900,2016
18097330106,"Census Tract 3301.06, Marion County, Indiana",B19013_001,29394,3314,2016
18097330107,"Census Tract 3301.07, Marion County, Indiana",B19013_001,97696,11420,2016
18097330108,"Census Tract 3301.08, Marion County, Indiana",B19013_001,118068,13549,2016
18097330109,"Census Tract 3301.09, Marion County, Indiana",B19013_001,88116,6394,2016
18097330202,"Census Tract 3302.02, Marion County, Indiana",B19013_001,40746,9246,2016
18097330203,"Census Tract 3302.03, Marion County, Indiana",B19013_001,109836,12259,2016
18097330204,"Census Tract 3302.04, Marion County, Indiana",B19013_001,85865,9340,2016
18097330206,"Census Tract 3302.06, Marion County, Indiana",B19013_001,88667,7834,2016
18097330208,"Census Tract 3302.08, Marion County, Indiana",B19013_001,72750,12850,2016
18097330209,"Census Tract 3302.09, Marion County, Indiana",B19013_001,61901,4633,2016
18097330401,"Census Tract 3304.01, Marion County, Indiana",B19013_001,82690,21294,2016
18097330500,"Census Tract 3305, Marion County, Indiana",B19013_001,44583,10529,2016
18097330600,"Census Tract 3306, Marion County, Indiana",B19013_001,39368,4153,2016
18097330700,"Census Tract 3307, Marion County, Indiana",B19013_001,35345,4905,2016
