GEOID,value,zscore_raw,zscore
18097320202,324987.68326666666,1.6087216983872543,1.6087216983872543
18097320206,299931.0927166667,1.2255959823782168,1.2255959823782168
18097320301,324987.68326666666,1.6087216983872543,1.6087216983872543
18097320305,324987.68326666666,1.6087216983872543,1.6087216983872543
18097320306,324987.6832666666,1.6087216983872534,1.6087216983872534
18097320400,324987.68326666666,1.6087216983872543,1.6087216983872543
18097320500,324987.68326666666,1.6087216983872543,1.6087216983872543
18097320600,324987.68326666666,1.6087216983872543,1.6087216983872543
18097320700,324960.3391261737,1.6083035950789006,1.6083035950789006
18097320800,291467.81405249314,1.096188923124678,1.096188923124678
18097320901,288237.951275,1.0468029746745606,1.0468029746745606
18097320902,288237.951275,1.0468029746745606,1.0468029746745606
18097320903,288104.8132520919,1.0447672387968914,1.0447672387968914
18097321001,253371.9995315769,0.5136880363360906,0.5136880363360906
18097321002,252970.6140375097,0.5075506847876716,0.5075506847876716
18097321100,246303.71282762033,0.40561098574907345,0.40561098574907345
18097321200,302471.0067918918,1.264432327519837,1.264432327519837
18097321300,324987.68326666666,1.6087216983872543,1.6087216983872543
18097321400,324987.68326666666,1.6087216983872543,1.6087216983872543
18097321600,263808.1514768644,0.6732611505807735,0.6732611505807735
18097321700,307745.8278716391,1.3450865409877482,1.3450865409877482
18097321800,269056.92480564845,0.7535170830767262,0.7535170830767262
18097321900,181548.4088426825,-0.5845246097185319,-0.5845246097185319
18097322000,181231.90134475697,-0.5893641413189292,-0.5893641413189292
18097322100,253026.28141666664,0.5084018622236158,0.5084018622236158
18097322200,253026.28141666664,0.5084018622236158,0.5084018622236158
18097322300,253026.28141666664,0.5084018622236158,0.5084018622236158
18097322400,253026.28141666664,0.5084018622236158,0.5084018622236158
18097322500,253026.28141666664,0.5084018622236158,0.5084018622236158
18097322601,242625.873297012,0.34937528597504097,0.34937528597504097
18097322602,252074.94581529705,0.49385554425141215,0.49385554425141215
18097322700,150393.16901917927,-1.0609012157453628,-1.0609012157453628
18097330103,318192.01886666665,1.504813156488399,1.504813156488399
18097330105,318192.01886666665,1.504813156488399,1.504813156488399
18097330106,318192.01886666665,1.504813156488399,1.504813156488399
18097330107,318192.01886666665,1.504813156488399,1.504813156488399
18097330108,318192.01886666665,1.504813156488399,1.504813156488399
18097330109,318192.01886666665,1.504813156488399,1.504813156488399
18097330204,201597.56905,-0.27796459132814355,-0.27796459132814355
18097330210,201597.56905,-0.27796459132814355,-0.27796459132814355
18097330211,201597.56905,-0.27796459132814355,-0.27796459132814355
18097330212,201597.56904999996,-0.277964591328144,-0.277964591328144
18097330401,318179.15982149035,1.5046165363265087,1.5046165363265087
18097330500,151229.43695,-1.0481143304294318,-1.0481143304294318
18097330600,151229.43695,-1.0481143304294318,-1.0481143304294318
18097330701,151229.43695,-1.0481143304294318,-1.0481143304294318
18097330702,193835.86155144696,-0.3966443349629315,-0.3966443349629315
18097330803,201597.56905,-0.27796459132814355,-0.27796459132814355
18097330804,201208.16031518843,-0.28391881323423807,-0.28391881323423807
18097330805,151229.43695000003,-1.0481143304294314,-1.0481143304294314
18097330806,151229.43695,-1.0481143304294318,-1.0481143304294318
18097330900,151229.43695,-1.0481143304294318,-1.0481143304294318
18097331000,150430.8601575232,-1.0603249025260366,-1.0603249025260366
18097340101,262412.05370023305,0.6519142335202432,0.6519142335202432
18097340102,217664.09955965163,-0.032300641438068066,-0.032300641438068066
18097340108,187071.47174166667,-0.5000746753384425,-0.5000746753384425
18097340111,224567.52182976465,0.07325556322082115,0.07325556322082115
18097340112,220909.226824362,0.01731870738561353,0.01731870738561353
18097340113,264621.87685218,0.6857033508246732,0.6857033508246732
18097340114,265924.93251982663,0.7056276152480607,0.7056276152480607
18097340115,216952.52915833335,-0.04318084953948137,-0.04318084953948137
18097340201,187071.47174166667,-0.5000746753384425,-0.5000746753384425
18097340202,187071.47174166667,-0.5000746753384425,-0.5000746753384425
18097340301,187071.47174166667,-0.5000746753384425,-0.5000746753384425
18097340302,187071.47174166667,-0.5000746753384425,-0.5000746753384425
18097340400,119867.64077238398,-1.5276492692273462,-1.5276492692273462
18097340500,117439.78316666666,-1.56477222423203,-1.56477222423203
18097340600,117439.78316666668,-1.5647722242320299,-1.5647722242320299
18097340700,117889.22131907068,-1.5579001275037077,-1.5579001275037077
18097340800,187071.47174166667,-0.5000746753384425,-0.5000746753384425
18097340901,216952.52915833335,-0.04318084953948137,-0.04318084953948137
18097340903,187071.47174166667,-0.5000746753384425,-0.5000746753384425
18097340904,187071.47174166667,-0.5000746753384425,-0.5000746753384425
18097341000,183865.78072757408,-0.5490910274485649,-0.5490910274485649
18097341100,117439.78316666666,-1.56477222423203,-1.56477222423203
18097341200,117439.78316666666,-1.56477222423203,-1.56477222423203
18097341600,117439.78316666666,-1.56477222423203,-1.56477222423203
18097341701,117439.78316666666,-1.56477222423203,-1.56477222423203
18097341702,147100.99386107107,-1.111239946474128,-1.111239946474128
18097341902,200096.72482647648,-0.30091312523214964,-0.30091312523214964
18097341903,184906.998112791,-0.5331703795281598,-0.5331703795281598
18097341904,187071.47174166667,-0.5000746753384425,-0.5000746753384425
18097342000,244759.55299166663,0.38200013807202743,0.38200013807202743
18097342101,147010.03714944085,-1.1126307125162844,-1.1126307125162844
18097342200,144160.82990833334,-1.1561962791135902,-1.1561962791135902
18097342300,144160.82990833334,-1.1561962791135902,-1.1561962791135902
