GEOID,year,delta_sum_value,zscore_sum_value,delta_n_indicators,zscore_n_indicators,baseline_sum,baseline_n
18097357602,2026,0.43789585728311975,-2.622231499525223,5,5,-4.7752584453493325,7
18097357602,2027,2.087637724034867,-2.2966641480439467,5,5,-4.7752584453493325,7
18097357602,2028,2.2800430139583105,-2.227300239149276,5,5,-4.7752584453493325,7
18097357800,2024,-0.3254384069496073,-3.66966804684071,5,7,-4.052251064986874,7
18097357800,2025,-0.4328609140262337,-3.6898046151304147,7,7,-4.052251064986874,7
18097357800,2026,3.167429025690388,-3.6635727697962572,7,7,-4.052251064986874,7
18097357800,2027,0.2581807061315406,-3.5845048815042557,7,7,-4.052251064986874,7
18097357800,2028,0.6694882654030341,-3.406564389235375,7,7,-4.052251064986874,7
18097357900,2024,-0.5826504816750481,-3.5927455044209764,5,7,-4.144824387433595,7
18097357900,2025,0.6976233224034718,-3.345778133390454,7,7,-4.144824387433595,7
18097357900,2026,3.002688501581973,-3.3329783088163145,7,7,-4.144824387433595,7
18097357900,2027,1.25129042530101,-3.0401803371685125,7,7,-4.144824387433595,7
18097357900,2028,1.4297551464661056,-2.7145770104613924,7,7,-4.144824387433595,7
18097358000,2024,-3.896235163743025,-1.1331421234375787,4,6,-0.2572248528995258,6
18097358000,2025,-0.7059138515617461,-0.9529164915084749,6,6,-0.2572248528995258,6
18097358000,2026,3.761830128938061,-0.9186131198639653,6,6,-0.2572248528995258,6
18097358000,2027,-0.29939439355221525,-0.7001828699342872,6,6,-0.2572248528995258,6
18097358000,2028,0.04317588810435813,-0.44981676520950553,6,6,-0.2572248528995258,6
18097358100,2024,0.4771297678125757,-2.168000240285175,5,7,-1.4732882765206499,7
18097358100,2025,-1.010140468989236,-2.3544654025638954,7,7,-1.4732882765206499,7
18097358100,2026,-1.2470855019159897,-2.3506035890365524,7,7,-1.4732882765206499,7
18097358100,2027,-1.1618109585344893,-2.51004080904495,7,7,-1.4732882765206499,7
18097358100,2028,-1.3204627314160264,-2.6215933965466967,7,7,-1.4732882765206499,7
18097360101,2024,4.746504825251927,-4.424648012235864,5,7,-5.770454776186479,7
18097360101,2025,5.07337268075832,-4.197777468313273,7,7,-5.770454776186479,7
18097360101,2026,-1.0368294751249811,-4.193814045652942,7,7,-5.770454776186479,7
18097360101,2027,5.2643799774227675,-3.960105603956704,7,7,-5.770454776186479,7
18097360101,2028,4.914942022471106,-3.6979018170856857,7,7,-5.770454776186479,7
18097360102,2024,2.508970546172054,-8.287035784314076,5,7,-7.905463289228616,7
18097360102,2025,2.5534825270717487,-8.299879152106117,7,7,-7.905463289228616,7
18097360102,2026,-1.9472356885955133,-8.302431959045341,7,7,-7.905463289228616,7
18097360102,2027,1.7669554101267815,-8.243289820326138,7,7,-7.905463289228616,7
18097360102,2028,1.5165941321160628,-8.101166334655709,7,7,-7.905463289228616,7
18097360201,2024,-1.1124693374406327,-3.2839184748397323,5,7,-4.505819715954956,7
18097360201,2025,-1.8868317493891869,-3.478466439484484,7,7,-4.505819715954956,7
18097360201,2026,-0.0051219304796203645,-3.4402398450389495,7,7,-4.505819715954956,7
18097360201,2027,-1.9366446059168814,-3.5813117697046835,7,7,-4.505819715954956,7
18097360201,2028,-1.5332307854900067,-3.686143082554236,7,7,-4.505819715954956,7
18097360202,2024,-2.668254070923895,-5.8920379788917945,5,6,-3.9073520261636547,7
18097360202,2025,-3.4691046791441646,-5.972986744200254,6,6,-3.9073520261636547,7
18097360202,2026,-0.577896916984215,-5.98117575225572,6,6,-3.9073520261636547,7
18097360202,2027,-5.535988603370579,-6.0186638156141505,6,6,-3.9073520261636547,7
18097360202,2028,-7.025198780494006,-6.025632186669265,6,6,-3.9073520261636547,7
18097360301,2024,-0.31783775208167847,-4.4405327343354175,5,6,-3.176456584593136,7
18097360301,2025,-3.486029874766686,-4.606581025641695,6,6,-3.176456584593136,7
18097360301,2026,-0.1912758650808572,-4.605118656377325,6,6,-3.176456584593136,7
18097360301,2027,-4.396541471917964,-4.73253281532104,6,6,-3.176456584593136,7
18097360301,2028,-4.426469453936298,-4.8215654034589726,6,6,-3.176456584593136,7
18097360302,2024,1.6952205656712989,-4.283431120324755,5,7,-5.188566307046968,7
18097360302,2025,0.9071459129177945,-4.038552695483378,7,7,-5.188566307046968,7
18097360302,2026,-1.3913486198665692,-4.07687181326955,7,7,-5.188566307046968,7
18097360302,2027,0.5474044579929892,-3.9024086047820363,7,7,-5.188566307046968,7
18097360302,2028,0.360598429823512,-3.7429337771823104,7,7,-5.188566307046968,7
18097360401,2024,-1.7638076481313476,-1.3995271824629867,5,7,-2.135598309483366,7
18097360401,2025,-2.9642447674690113,-1.5719161536207298,7,7,-2.135598309483366,7
18097360401,2026,1.9337314511746917,-1.5755695509297374,7,7,-2.135598309483366,7
18097360401,2027,-3.228364766030908,-1.7314568208603416,7,7,-2.135598309483366,7
18097360401,2028,-3.922431226324461,-1.923241978440086,7,7,-2.135598309483366,7
18097360402,2024,8.49225274134269,0.2057059050194721,4,5,-1.1093021296195964,7
18097360402,2025,-0.6474280800766297,0.1440236931373604,5,5,-1.1093021296195964,7
18097360402,2026,-1.0615754949976153,0.12995978124238183,5,5,-1.1093021296195964,7
18097360402,2027,-0.7817199552235987,-0.006520439002918349,5,5,-1.1093021296195964,7
18097360402,2028,-0.6305706920073432,-0.1555931276059849,5,5,-1.1093021296195964,7
18097360404,2024,NA,-1.8033011495269478,NA,4,-4.549473163839268,5
18097360404,2025,-1.6965273037791433,-1.8722583209298673,4,4,-4.549473163839268,5
18097360404,2026,-0.15967106555211727,-1.8493740406094183,4,4,-4.549473163839268,5
18097360404,2027,-2.005020541647509,-1.9117505271067583,4,4,-4.549473163839268,5
18097360404,2028,-1.6652656133070036,-1.9302507935454567,4,4,-4.549473163839268,5
18097360405,2024,-1.066679755940424,-1.3636593807321291,5,6,0.5129604904088194,7
18097360405,2025,-1.0115348579879624,-1.5215174313673703,6,6,0.5129604904088194,7
18097360405,2026,2.4254843925203997,-1.476326750254255,6,6,0.5129604904088194,7
18097360405,2027,-0.3009281916819971,-1.5344168522543762,6,6,0.5129604904088194,7
18097360405,2028,-0.06478968792907652,-1.5899494291354423,6,6,0.5129604904088194,7
18097360406,2024,0.5685754352195136,1.4447899821814996,2,3,-3.6956972235532612,7
18097360406,2025,-0.7741242451173603,1.1569167446269857,3,3,-3.6956972235532612,7
18097360406,2026,0.2679386303769135,1.2499405717088776,3,3,-3.6956972235532612,7
18097360406,2027,-0.5269469215944088,1.0156108112599453,3,3,-3.6956972235532612,7
18097360406,2028,-0.05727836153552943,0.8708320441727772,3,3,-3.6956972235532612,7
18097360407,2024,1.1998426785459138,-1.7254584907181907,5,6,-1.0063286941065863,7
18097360407,2025,0.9993565062081966,-1.721949113734902,6,6,-1.0063286941065863,7
18097360407,2026,-1.2825872981335709,-1.768478017992694,6,6,-1.0063286941065863,7
18097360407,2027,1.1167357513569232,-1.8434682225198138,6,6,-1.0063286941065863,7
18097360407,2028,0.8759697520587387,-1.9515571682013337,6,6,-1.0063286941065863,7
18097360501,2024,1.589581342991379,0.008645153182551685,5,7,0.6612546804709105,7
18097360501,2025,-0.7944968770377143,-0.25580824182361567,7,7,0.6612546804709105,7
18097360501,2026,3.9514565173337513,-0.17706164474566888,7,7,0.6612546804709105,7
18097360501,2027,1.174832426603324,-0.29376274682998166,7,7,0.6612546804709105,7
18097360501,2028,2.083778347667731,-0.3953357339478212,7,7,0.6612546804709105,7
18097360502,2024,-0.8891925535120294,-0.9842269673901209,5,7,1.5167567909087492,7
18097360502,2025,-2.6745490238513985,-1.2846816371952534,7,7,1.5167567909087492,7
18097360502,2026,3.361842924451351,-1.2217092848208428,7,7,1.5167567909087492,7
18097360502,2027,-1.605331258743319,-1.4168559977924917,7,7,1.5167567909087492,7
18097360502,2028,-0.9187328465987877,-1.5988681191034688,7,7,1.5167567909087492,7
18097360601,2024,0.88116661918103,-1.6187353522235934,5,7,-0.6912414878845816,7
18097360601,2025,-0.40538234220158925,-1.7372155673042555,7,7,-0.6912414878845816,7
18097360601,2026,-0.6054064928471923,-1.7315970178204836,7,7,-0.6912414878845816,7
18097360601,2027,-0.23564497758947275,-1.8088230410060557,7,7,-0.6912414878845816,7
18097360601,2028,0.11155228559144884,-1.852020525608996,7,7,-0.6912414878845816,7
18097360602,2024,-0.02896446667845455,-2.122026285829358,5,7,-2.151340652496213,7
18097360602,2025,-1.9864228319363717,-2.3750389544635,7,7,-2.151340652496213,7
18097360602,2026,-1.0547612321129032,-2.3765474399356865,7,7,-2.151340652496213,7
18097360602,2027,-2.6208563058747463,-2.613428808913717,7,7,-2.151340652496213,7
18097360602,2028,-2.4076726944811857,-2.811898528874768,7,7,-2.151340652496213,7
18097360700,2024,1.5517504779491937,0.32332427602626307,5,7,1.2494896090877752,7
18097360700,2025,0.5699061175668866,0.27121700174997465,7,7,1.2494896090877752,7
18097360700,2026,-0.1246606424212493,0.3057322457107906,7,7,1.2494896090877752,7
18097360700,2027,0.8121235641771763,0.31658621532790177,7,7,1.2494896090877752,7
18097360700,2028,0.9453965351375521,0.3663486323125903,7,7,1.2494896090877752,7
18097360800,2024,-0.03372740514658035,-4.294965227605894,5,7,-4.917687558804789,7
18097360800,2025,-1.594379557525987,-4.511818109208494,7,7,-4.917687558804789,7
18097360800,2026,-0.8138677122557348,-4.496266107035865,7,7,-4.917687558804789,7
18097360800,2027,-1.8252719423775836,-4.646241004688142,7,7,-4.917687558804789,7
18097360800,2028,-1.6516518391939385,-4.720716227523203,7,7,-4.917687558804789,7
18097360900,2024,1.8503492172394294,-1.6619251313716756,5,7,-1.8110142775732485,7
18097360900,2025,5.038118428985156,-1.5579347607320102,7,7,-1.8110142775732485,7
18097360900,2026,-7.408352250569398,-1.558732336192392,7,7,-1.8110142775732485,7
18097360900,2027,6.20395156705154,-1.6222982885786466,7,7,-1.8110142775732485,7
18097360900,2028,0.5496937566336877,-1.7130249282544197,6,7,-1.8110142775732485,7
18097361000,2024,1.2490333084684448,1.0016688792451132,5,6,3.395335336125042,7
18097361000,2025,0.8273288099642262,0.9757753039522001,6,6,3.395335336125042,7
18097361000,2026,-1.6408865658217968,0.9698000234937817,6,6,3.395335336125042,7
18097361000,2027,0.4973067046805432,0.9578441095455548,6,6,3.395335336125042,7
18097361000,2028,0.4339016583855245,0.9630327413513772,6,6,3.395335336125042,7
18097361100,2024,1.3267335627610488,2.2932705280785317,4,6,0.14523929971667104,7
18097361100,2025,2.2703945922272637,2.4032612613365507,6,6,0.14523929971667104,7
18097361100,2026,-0.36449967096237085,2.401364744743635,6,6,0.14523929971667104,7
18097361100,2027,2.704466221655012,2.474394436550236,6,6,0.14523929971667104,7
18097361100,2028,2.792944649422352,2.515881764392903,6,6,0.14523929971667104,7
18097361200,2024,1.8053222996743934,0.11773628884475365,4,6,-1.579538339536697,7
18097361200,2025,1.099500606701251,0.24731302173732525,6,6,-1.579538339536697,7
18097361200,2026,-1.3353958380933564,0.16434205896200857,6,6,-1.579538339536697,7
18097361200,2027,0.6448637361398918,0.20635696711430312,6,6,-1.579538339536697,7
18097361200,2028,0.09012251456826792,0.19250949483959018,6,6,-1.579538339536697,7
18097361300,2024,0.597778665561293,-2.1667072720955525,5,7,-3.4502218843082724,7
18097361300,2025,1.6698948584154336,-2.154384870750303,7,7,-3.4502218843082724,7
18097361300,2026,-0.6444701506126147,-2.1495006094712004,7,7,-3.4502218843082724,7
18097361300,2027,2.2956699642948726,-2.1061019230882794,7,7,-3.4502218843082724,7
18097361300,2028,3.1373758326383236,-2.0387578568422557,7,7,-3.4502218843082724,7
18097361400,2024,NA,0.12113312020684597,NA,5,-0.7069282505789524,5
18097361400,2025,0.17281255760751058,0.09874613517897524,5,5,-0.7069282505789524,5
18097361400,2026,-0.763441372907843,0.08311332306839403,5,5,-0.7069282505789524,5
18097361400,2027,-0.18896938904672195,0.050743572604970866,5,5,-0.7069282505789524,5
18097361400,2028,-0.4821653158429263,0.020247459465637885,5,5,-0.7069282505789524,5
18097361401,2024,-1.6594287606571565,0.5716608003759004,4,5,2.649881118258626,7
18097361401,2025,-3.6908210188643644,0.4665875220215135,5,5,2.649881118258626,7
18097361401,2026,-0.6928959722240802,0.3885630279451817,5,5,2.649881118258626,7
18097361401,2027,-4.527421410716794,0.15145266826786763,5,5,2.649881118258626,7
18097361401,2028,-4.157458032568256,-0.1364648777703088,5,5,2.649881118258626,7
18097361402,2024,1.5369559400159771,0.3777986250813121,5,7,-0.013149340901818574,7
18097361402,2025,3.3538030716774068,0.4792994510164369,7,7,-0.013149340901818574,7
18097361402,2026,-2.317321617358484,0.47905106642162626,7,7,-0.013149340901818574,7
18097361402,2027,2.7906095347142896,0.5603846053305553,7,7,-0.013149340901818574,7
18097361402,2028,1.7514521061330546,0.63794183074903,7,7,-0.013149340901818574,7
18097361600,2024,NA,0.10643304182554841,NA,5,2.112888803567735,5
18097361600,2025,-1.8476207579860333,-0.07524980732043819,5,5,2.112888803567735,5
18097361600,2026,3.076923320461706,-0.07290883618806299,5,5,2.112888803567735,5
18097361600,2027,-0.4980652326380115,-0.23230869579625554,5,5,2.112888803567735,5
18097361600,2028,1.1437958616933703,-0.37774869670314715,5,5,2.112888803567735,5
18097361601,2024,0.17050422524357292,1.335497499468351,5,6,4.813869662937571,7
18097361601,2025,6.455481682859588,2.211983238195655,6,6,4.813869662937571,7
18097361601,2026,5.867519252611749,2.595355690893058,6,6,4.813869662937571,7
18097361601,2027,8.044468451157625,4.567326359249313,6,6,4.813869662937571,7
18097361601,2028,3.5363715597984293,5.541991624981512,6,6,4.813869662937571,7
18097361602,2024,-4.639610458467246,2.131074291160385,4,4,2.235109335780274,7
18097361602,2025,2.9589451644051485,2.522863246696251,4,4,2.235109335780274,7
18097361602,2026,-12.774691218587773,1.9565373623844091,4,4,2.235109335780274,7
18097361602,2027,-2.778451791282733,1.7625316970016185,4,4,2.235109335780274,7
18097361602,2028,-8.137505816554166,1.1600115437139817,4,4,2.235109335780274,7
18097370201,2024,-1.1010379953103953,0.7455795457014092,5,7,0.21683538192337087,7
18097370201,2025,-0.07174129736402601,1.1661163340085472,7,7,0.21683538192337087,7
18097370201,2026,-1.3617079763013695,1.1702255073980872,7,7,0.21683538192337087,7
18097370201,2027,-1.2421322012071543,1.46342496915433,7,7,0.21683538192337087,7
18097370201,2028,-1.3234443406068037,1.6743775369462532,7,7,0.21683538192337087,7
18097370202,2024,NA,-0.7484739724405582,NA,5,-0.9804990923847917,5
18097370202,2025,-0.9714035208623426,-0.8417656518907446,5,5,-0.9804990923847917,5
18097370202,2026,0.1573878039318048,-0.8340693617874472,5,5,-0.9804990923847917,5
18097370202,2027,-1.0487503467103225,-0.9122488484500985,5,5,-0.9804990923847917,5
18097370202,2028,-0.9871881692411892,-0.9623648016482932,5,5,-0.9804990923847917,5
18097370203,2024,2.0631669678370343,-0.37836553138826773,3,4,-0.7232349327580545,7
18097370203,2025,0.3197725409804698,-0.4571850463929977,4,4,-0.7232349327580545,7
18097370203,2026,1.1148445845396773,-0.3974684510234021,4,4,-0.7232349327580545,7
18097370203,2027,1.203719984383162,-0.4597692401313721,4,4,-0.7232349327580545,7
18097370203,2028,2.146284157262415,-0.48773453676103373,4,4,-0.7232349327580545,7
18097370204,2024,-0.716440867823204,0.38056083361111886,4,5,1.619723145512025,7
18097370204,2025,2.5886373718246505,-0.030073810724971506,5,5,1.619723145512025,7
18097370204,2026,-1.5141734703111913,0.0888532548123879,5,5,1.619723145512025,7
18097370204,2027,0.9707276977105442,-0.17771690096435966,5,5,1.619723145512025,7
18097370204,2028,-0.4469559869500955,-0.3343934585673514,5,5,1.619723145512025,7
18097370301,2024,NA,1.6730938884888897,NA,4,2.698398536832934,5
18097370301,2025,1.4412788799118625,2.01339035006663,4,4,2.698398536832934,5
18097370301,2026,0.5679893543756035,2.041334460156434,4,4,2.698398536832934,5
18097370301,2027,1.8693998069974835,2.3733096867727053,4,4,2.698398536832934,5
18097370301,2028,2.5362308240408638,2.7169551042376345,4,4,2.698398536832934,5
18097370302,2024,NA,0.06597344521829301,NA,4,0.1257393032633653,5
18097370302,2025,-1.944533843507897,-0.09611688649829409,4,4,0.1257393032633653,5
18097370302,2026,4.5458535215250535,-0.012719008057802739,4,4,0.1257393032633653,5
18097370302,2027,-0.5144431898791089,-0.09034734408902079,4,4,0.1257393032633653,5
18097370302,2028,1.5395259427127437,-0.09400428459126514,4,4,0.1257393032633653,5
18097370303,2024,1.339906521791955,-1.04155991470532,4,5,0.31924508080580466,7
18097370303,2025,-1.6980198571678133,-1.561097896743191,5,5,0.31924508080580466,7
18097370303,2026,3.1274219719822187,-1.263931091635326,5,5,0.31924508080580466,7
18097370303,2027,-0.5730252285852213,-1.4789451517584438,5,5,0.31924508080580466,7
18097370303,2028,1.6662292044752536,-1.4023361456333043,5,5,0.31924508080580466,7
18097370304,2024,2.47819621593866,0.24827803663097667,5,6,2.9932296776585594,7
18097370304,2025,-3.4295528644996325,-0.34323524937485816,6,6,2.9932296776585594,7
18097370304,2026,3.44397147145094,-0.10905102474445838,6,6,2.9932296776585594,7
18097370304,2027,-2.9999036651574813,-0.451546386060212,6,6,2.9932296776585594,7
18097370304,2028,-0.5345972991157235,-0.5615509505890758,6,6,2.9932296776585594,7
18097370305,2024,0.49074371085492685,2.328157068926248,2,3,1.1637873588279297,7
18097370305,2025,0.11131036464274258,2.230077646047306,3,3,1.1637873588279297,7
18097370305,2026,-1.2802844271435807,2.199226551881652,3,3,1.1637873588279297,7
18097370305,2027,-0.04421799116869468,1.9891301363568747,3,3,1.1637873588279297,7
18097370305,2028,-0.07286609418405218,1.7476227444852144,3,3,1.1637873588279297,7
18097370306,2024,0.4912385231250071,-0.774281678832835,4,5,1.66912258396931,7
18097370306,2025,2.0615744159027223,-0.7603047630410464,5,5,1.66912258396931,7
18097370306,2026,-5.67927887659803,-0.8336006046595019,5,5,1.66912258396931,7
18097370306,2027,0.38198645968448675,-0.9101847143771669,5,5,1.66912258396931,7
18097370306,2028,-1.0524064455328621,-1.0265738828650548,5,5,1.66912258396931,7
18097380100,2024,NA,1.262906368417599,NA,5,1.574154186358489,5
18097380100,2025,-2.0549069822069352,1.0467402470028704,5,5,1.574154186358489,5
18097380100,2026,0.9413718360694102,1.110883640441738,5,5,1.574154186358489,5
18097380100,2027,-2.0490151738515747,0.9543446696837425,5,5,1.574154186358489,5
18097380100,2028,-1.227137706032214,0.8578502267317442,5,5,1.574154186358489,5
18097380101,2024,-1.495042831252338,1.886820537660541,4,5,5.056506372846063,7
18097380101,2025,-4.967409799115978,1.5973838062077441,5,5,5.056506372846063,7
18097380101,2026,7.283818962715683,1.6478561162608691,5,5,5.056506372846063,7
18097380101,2027,-3.895705922159874,1.422211391172519,5,5,5.056506372846063,7
18097380101,2028,-2.12341067216246,1.2302695306541642,5,5,5.056506372846063,7
18097380102,2024,-2.4027470975293896,-1.6137369979135878,2,3,0.4714304340376902,7
18097380102,2025,-2.111593153456627,-1.6414292569065545,3,3,0.4714304340376902,7
18097380102,2026,-2.9583708748223385,-1.7079876009367958,3,3,0.4714304340376902,7
18097380102,2027,-3.021452182232732,-1.7761509626264331,3,3,0.4714304340376902,7
18097380102,2028,-3.6058032163095044,-1.8938833677683333,3,3,0.4714304340376902,7
18097380103,2024,-0.009993955128685644,1.0667558089175786,4,5,3.577136918550552,7
18097380103,2025,-1.961088351459003,0.741243591319458,5,5,3.577136918550552,7
18097380103,2026,0.2893027782987444,0.7802147306591909,5,5,3.577136918550552,7
18097380103,2027,-2.320653073119968,0.49473365499447997,5,5,3.577136918550552,7
18097380103,2028,-2.5765048910960333,0.2586560025428553,5,5,3.577136918550552,7
18097380200,2024,0.03796839115376896,0.7276647758103452,4,6,-0.6459216180386679,7
18097380200,2025,0.8166866680864171,0.7453470265063017,6,6,-0.6459216180386679,7
18097380200,2026,0.2661112664265705,0.7756887045215262,6,6,-0.6459216180386679,7
18097380200,2027,1.2871715459149162,0.8023774781552965,6,6,-0.6459216180386679,7
18097380200,2028,1.432583826741639,0.8389247930272208,6,6,-0.6459216180386679,7
18097380300,2024,NA,-2.5718328178689096,NA,5,-1.363315749201869,5
18097380300,2025,-0.7964566378631693,-2.603707770650454,5,5,-1.363315749201869,5
