GEOID,NAME,year,estimate
18097320109,NA,2025,71902.98758091919
18097320109,NA,2026,70498.45341456129
18097320109,NA,2027,71206.0558316314
18097320109,NA,2028,70846.93883949053
18097320202,NA,2024,96710.96289132425
18097320202,NA,2025,95957.4631127465
18097320202,NA,2026,96211.64516843705
18097320202,NA,2027,96125.602928575
18097320202,NA,2028,96154.69468167778
18097320203,NA,2024,53456.79736171918
18097320203,NA,2025,53567.910575104106
18097320203,NA,2026,53591.50633361519
18097320203,NA,2027,53596.51211231224
18097320203,NA,2028,53597.573851934896
18097320204,NA,2024,40037.840912366424
18097320204,NA,2025,40091.33887197428
18097320204,NA,2026,40065.60360169494
18097320204,NA,2027,40077.97723851779
18097320204,NA,2028,40072.0264681567
18097320205,NA,2024,84208.18486510223
18097320205,NA,2025,94891.13311005893
18097320205,NA,2026,101981.82982825219
18097320205,NA,2027,106513.90565127008
18097320205,NA,2028,109345.24312472573
18097320206,NA,2024,44458.078242279014
18097320206,NA,2025,47540.68093837022
18097320206,NA,2026,50867.25212818594
18097320206,NA,2027,54420.068822355104
18097320206,NA,2028,58222.439469377845
18097320301,NA,2024,83485.90259177513
18097320301,NA,2025,83344.27585394503
18097320301,NA,2026,83365.2519128141
18097320301,NA,2027,83362.14260892654
18097320301,NA,2028,83362.60344769075
18097320303,NA,2024,61698.9739376521
18097320303,NA,2025,63090.41782624789
18097320303,NA,2026,63642.74876672987
18097320303,NA,2027,63859.93713130687
18097320303,NA,2028,63945.02567721448
18097320304,NA,2024,101204.72182855144
18097320304,NA,2025,101302.13448509497
18097320304,NA,2026,101352.41470347389
18097320304,NA,2027,101378.35802621336
18097320304,NA,2028,101391.741688123
18097320305,NA,2024,139730.37763465123
18097320305,NA,2025,147350.2717294909
18097320305,NA,2026,158037.56263449317
18097320305,NA,2027,167587.75682587916
18097320305,NA,2028,179072.09080723993
18097320306,NA,2024,70350.9685543809
18097320306,NA,2025,70031.93847184145
18097320306,NA,2026,69962.80666288777
18097320306,NA,2027,69947.79375186819
18097320306,NA,2028,69944.53195995277
18097320400,NA,2024,81347.57592353952
18097320400,NA,2025,88269.9335884411
18097320400,NA,2026,95887.13081248093
18097320400,NA,2027,104145.67468575142
18097320400,NA,2028,113117.9193142827
18097320500,NA,2024,78293.21173347419
18097320500,NA,2025,78295.84408220518
18097320500,NA,2026,78296.12403152781
18097320500,NA,2027,78296.15380354079
18097320500,NA,2028,78296.1569697252
18097320600,NA,2024,68699.90206138535
18097320600,NA,2025,68702.50093313046
18097320600,NA,2026,68702.4411646723
18097320600,NA,2027,68702.4425391922
18097320600,NA,2028,68702.44250758176
18097320700,NA,2024,135279.83697816613
18097320700,NA,2025,142870.22030561598
18097320700,NA,2026,148824.03086750905
18097320700,NA,2027,153438.4068043233
18097320700,NA,2028,156982.7027619513
18097320800,NA,2024,202284.89119842803
18097320800,NA,2025,207473.15606699526
18097320800,NA,2026,210470.06590179502
18097320800,NA,2027,212186.37265805842
18097320800,NA,2028,213164.5156879116
18097320901,NA,2024,93438.75055404611
18097320901,NA,2025,100532.23367742752
18097320901,NA,2026,108175.50908386188
18097320901,NA,2027,116399.07263174026
18097320901,NA,2028,125247.85509220202
18097320902,NA,2024,50337.678196578985
18097320902,NA,2025,50748.626762017564
18097320902,NA,2026,50913.97595007814
18097320902,NA,2027,50980.27915922446
18097320902,NA,2028,51006.82973042627
18097320903,NA,2024,44620.33576014919
18097320903,NA,2025,44623.27247882722
18097320903,NA,2026,44623.202642507655
18097320903,NA,2027,44623.20430318804
18097320903,NA,2028,44623.20426369767
18097321001,NA,2024,80490.46201923289
18097321001,NA,2025,82005.56924840398
18097321001,NA,2026,82786.06057301382
18097321001,NA,2027,83185.35349840164
18097321001,NA,2028,83388.91227467702
18097321002,NA,2024,109884.98613078598
18097321002,NA,2025,114363.67131906326
18097321002,NA,2026,117002.4752947673
18097321002,NA,2027,118536.49340606155
18097321002,NA,2028,119421.44550749967
18097321100,NA,2024,98165.51864468385
18097321100,NA,2025,101875.57874396829
18097321100,NA,2026,104443.0169826871
18097321100,NA,2027,106201.73876475357
18097321100,NA,2028,107398.27498175336
18097321200,NA,2024,140985.4389347748
18097321200,NA,2025,141807.15053871425
18097321200,NA,2026,142016.2044274153
18097321200,NA,2027,142069.2460460157
18097321200,NA,2028,142082.69461236265
18097321300,NA,2024,114324.07904036005
18097321300,NA,2025,116527.4753941391
18097321300,NA,2026,117718.6020613098
18097321300,NA,2027,118358.12751364162
18097321300,NA,2028,118700.24641387907
18097321400,NA,2024,74909.09149284348
18097321400,NA,2025,74920.810126450815
18097321400,NA,2026,74921.81829023523
18097321400,NA,2027,74921.90501667
18097321400,NA,2028,74921.91247718815
