GEOID,NAME,year,call_volume
18097310312,NA,2025,780.6803481005586
18097310312,NA,2026,797.3011847048805
18097310312,NA,2027,873.458536977773
18097310312,NA,2028,968.9041508313179
18097320105,NA,2024,493.03377881398086
18097320105,NA,2025,558.9212003912706
18097320105,NA,2026,563.6210564793565
18097320105,NA,2027,642.4074396707389
18097320105,NA,2028,733.7209474352095
18097320106,NA,2024,254.3214046403946
18097320106,NA,2025,288.30805523232993
18097320106,NA,2026,290.73238753766117
18097320106,NA,2027,331.3727158699036
18097320106,NA,2028,378.47490913517873
18097320107,NA,2024,103.8514059084989
18097320107,NA,2025,117.72973916814463
18097320107,NA,2026,118.71971238785231
18097320107,NA,2027,135.3150621647344
18097320107,NA,2028,154.54909767986547
18097320108,NA,2024,636.2195609358813
18097320108,NA,2025,721.2418904341185
18097320108,NA,2026,727.3066612772031
18097320108,NA,2027,828.9740292337746
18097320108,NA,2028,946.8066182857496
18097320109,NA,2024,273.0521080361239
18097320109,NA,2025,309.54186947615375
18097320109,NA,2026,312.14475243344265
18097320109,NA,2027,355.778231986671
18097320109,NA,2028,406.3494907363517
18097320202,NA,2024,121.33336770225472
18097320202,NA,2025,124.58550865033693
18097320202,NA,2026,128.31426260594364
18097320202,NA,2027,137.74298570311632
18097320202,NA,2028,150.74095824983496
18097320206,NA,2024,0.07047408825338013
18097320206,NA,2025,0.07042457952191798
18097320206,NA,2026,0.07042459111537287
18097320206,NA,2027,0.07037511715613091
18097320206,NA,2028,0.07032567795282584
18097320301,NA,2024,12.368919991065745
18097320301,NA,2025,12.700425710861794
18097320301,NA,2026,13.080542500724968
18097320301,NA,2027,14.04169899839689
18097320301,NA,2028,15.366708870145215
18097320305,NA,2024,9.718455658195774
18097320305,NA,2025,9.978934219341129
18097320305,NA,2026,10.277600509442264
18097320305,NA,2027,11.032810430606043
18097320305,NA,2028,12.073909565808158
18097320306,NA,2024,4.711979383909905
18097320306,NA,2025,4.838270836817566
18097320306,NA,2026,4.9830792891399645
18097320306,NA,2027,5.3492412090721215
18097320306,NA,2028,5.85401646335573
18097320400,NA,2024,452.6439862113464
18097320400,NA,2025,464.7765737688331
18097320400,NA,2026,478.6869009259868
18097320400,NA,2027,513.8616121878063
18097320400,NA,2028,562.3516360400494
18097320500,NA,2024,474.14236201164243
18097320500,NA,2025,486.85119495332
18097320500,NA,2026,501.4221916978104
18097320500,NA,2027,538.2675328167235
18097320500,NA,2028,589.0605967953221
18097320600,NA,2024,253.268631544815
18097320600,NA,2025,260.0571461124508
18097320600,NA,2026,267.8404369966616
18097320600,NA,2027,287.52177778519933
18097320600,NA,2028,314.6534726137159
18097320700,NA,2024,459.9267422539064
18097320700,NA,2025,472.27163274478244
18097320700,NA,2026,486.402046924702
18097320700,NA,2027,522.1556789787112
18097320700,NA,2028,571.4375126263741
18097320800,NA,2024,151.56324947136653
18097320800,NA,2025,169.3712147241695
18097320800,NA,2026,171.1615999981518
18097320800,NA,2027,193.33445438078704
18097320800,NA,2028,219.27778825899554
18097320901,NA,2024,566.7078604506023
18097320901,NA,2025,642.4408589044466
18097320901,NA,2026,647.8430115230807
18097320901,NA,2027,738.4024592628648
18097320901,NA,2028,843.3609593244752
18097320902,NA,2024,432.88742193731895
18097320902,NA,2025,490.73707121429635
18097320902,NA,2026,494.86358321576705
18097320902,NA,2027,564.0386231581898
18097320902,NA,2028,644.2125752899324
18097320903,NA,2024,411.10879631986506
18097320903,NA,2025,466.07789923392573
18097320903,NA,2026,470.0031888753328
18097320903,NA,2027,535.7442143748698
18097320903,NA,2028,611.946044958666
18097321001,NA,2024,441.2154585406785
18097321001,NA,2025,475.48737482393676
18097321001,NA,2026,483.4161797251666
18097321001,NA,2027,532.7142858181401
18097321001,NA,2028,592.4406859360114
18097321002,NA,2024,809.7651300313039
18097321002,NA,2025,871.3196698057935
18097321002,NA,2026,886.0019079007556
18097321002,NA,2027,975.1270432254784
18097321002,NA,2028,1083.2730471694047
18097321100,NA,2024,707.756005262847
18097321100,NA,2025,763.0442464151791
18097321100,NA,2026,772.13295250279225
18097321100,NA,2027,845.255110576701
18097321100,NA,2028,931.1521461334765
18097321200,NA,2024,817.7831215532382
18097321200,NA,2025,849.5272858256141
18097321200,NA,2026,869.0941414939866
18097321200,NA,2027,934.0309356339786
18097321200,NA,2028,1018.6114197317123
18097321300,NA,2024,456.7661484464652
18097321300,NA,2025,469.0087693931681
18097321300,NA,2026,483.04567638803564
18097321300,NA,2027,518.5400636790301
18097321300,NA,2028,567.4708586381279
18097321400,NA,2024,882.9059440895545
18097321400,NA,2025,906.5714039394875
18097321400,NA,2026,933.7041388735365
18097321400,NA,2027,1002.314358927819
18097321400,NA,2028,1096.896736188696
18097321600,NA,2024,856.4747153140023
18097321600,NA,2025,893.1985874035832
18097321600,NA,2026,905.9051538948916
18097321600,NA,2027,965.2937295220116
18097321600,NA,2028,1038.031884604128
18097321700,NA,2024,1073.4140168533456
18097321700,NA,2025,1111.6944224851957
18097321700,NA,2026,1134.7262494057948
18097321700,NA,2027,1212.5423576141786
18097321700,NA,2028,1313.1845714919862
18097321800,NA,2024,651.4605920728947
18097321800,NA,2025,685.7129942443452
18097321800,NA,2026,695.7557564746498
18097321800,NA,2027,747.8615368162715
18097321800,NA,2028,811.1072888442009
18097321900,NA,2024,891.1896794725806
18097321900,NA,2025,958.9124954823056
18097321900,NA,2026,960.6523296619008
18097321900,NA,2027,1033.695454052958
18097321900,NA,2028,1112.3111437067075
18097322000,NA,2024,1062.7651397650966
18097322000,NA,2025,1143.6771059333055
18097322000,NA,2026,1145.7161395555902
18097322000,NA,2027,1232.9189143143549
18097322000,NA,2028,1326.7478543368488
18097322100,NA,2024,544.981926854869
18097322100,NA,2025,574.8520984793487
18097322100,NA,2026,577.3611503047482
18097322100,NA,2027,612.5878474307602
18097322100,NA,2028,651.5783238669852
18097322200,NA,2024,401.9727924929685
18097322200,NA,2025,424.00490412647116
18097322200,NA,2026,425.85557696919176
18097322200,NA,2027,451.83865664558806
18097322200,NA,2028,480.5979014502663
18097322300,NA,2024,527.8036202937785
18097322300,NA,2025,556.7322529281922
18097322300,NA,2026,559.1622185523483
18097322300,NA,2027,593.2785363589531
18097322300,NA,2028,631.0399966482996
18097322400,NA,2024,748.5448614654855
18097322400,NA,2025,789.5722699511097
18097322400,NA,2026,793.0184935802469
18097322400,NA,2027,841.4031860259211
18097322400,NA,2028,894.9575044789609
18097322500,NA,2024,484.85785266098
18097322500,NA,2025,511.4326390143365
18097322500,NA,2026,513.664888798704
18097322500,NA,2027,545.0052589709585
18097322500,NA,2028,579.6941793469065
18097322601,NA,2024,752.0274255451998
18097322601,NA,2025,789.268301691374
18097322601,NA,2026,793.6474409097
18097322601,NA,2027,839.6442466852392
18097322601,NA,2028,891.3286378598468
18097322602,NA,2024,353.9595251129998
18097322602,NA,2025,373.34890458217205
18097322602,NA,2026,375.00057911750173
18097322602,NA,2027,397.907874921703
18097322602,NA,2028,423.28049844326074
18097322700,NA,2024,330.376002896221
18097322700,NA,2025,337.1881311930808
18097322700,NA,2026,346.98220322791013
18097322700,NA,2027,368.99125615085967
