GEOID,NAME,year,estimate
18097310311,NA,2026,104330.40225206062
18097310311,NA,2027,104607.36983699215
18097310311,NA,2028,104710.10641562703
18097310312,NA,2024,54241.91854230186
18097310312,NA,2025,54524.62602301907
18097310312,NA,2026,54472.42532575922
18097310312,NA,2027,54482.06395572225
18097310312,NA,2028,54480.28422494391
18097320105,NA,2024,86131.56282282989
18097320105,NA,2025,87672.13354869833
18097320105,NA,2026,88550.32151952139
18097320105,NA,2027,89050.92437997335
18097320105,NA,2028,89336.28837062085
18097320106,NA,2024,69749.3542273437
18097320106,NA,2025,65425.898795088586
18097320106,NA,2026,63759.365707081226
18097320106,NA,2027,66353.73268666452
18097320106,NA,2028,69942.15880563165
18097320107,NA,2024,118781.56514498673
18097320107,NA,2025,118463.5933639776
18097320107,NA,2026,118254.45235465725
18097320107,NA,2027,118116.89309817001
18097320107,NA,2028,118026.41562984942
18097320108,NA,2024,40333.15911603263
18097320108,NA,2025,44085.42796330101
18097320108,NA,2026,42168.762230326865
18097320108,NA,2027,43147.79856313966
18097320108,NA,2028,42647.70502858255
18097320109,NA,2024,71508.6096775538
18097320109,NA,2025,72685.17439238583
18097320109,NA,2026,72249.77502716328
18097320109,NA,2027,72410.89885218235
18097320109,NA,2028,72351.27339320745
18097320202,NA,2024,96660.54303015844
18097320202,NA,2025,95962.58456945774
18097320202,NA,2026,96188.05844619324
18097320202,NA,2027,96115.21962848038
18097320202,NA,2028,96138.75004115002
18097320203,NA,2024,53576.83878430393
18097320203,NA,2025,53748.81296666077
18097320203,NA,2026,53794.963605669654
18097320203,NA,2027,53807.34849653955
18097320203,NA,2028,53810.67208046283
18097320204,NA,2024,40054.55648237734
18097320204,NA,2025,40117.403041875325
18097320204,NA,2026,40086.26454287513
18097320204,NA,2027,40101.692692446566
18097320204,NA,2028,40094.04852824979
18097320205,NA,2024,81049.44404018436
18097320205,NA,2025,88457.60639544508
18097320205,NA,2026,93044.60344249354
18097320205,NA,2027,95884.78713456527
18097320205,NA,2028,97643.37632090467
18097320206,NA,2024,43641.747822187666
18097320206,NA,2025,45787.120428157774
18097320206,NA,2026,47889.977400436386
18097320206,NA,2027,49951.16128688822
18097320206,NA,2028,51971.497938298766
18097320301,NA,2024,83925.81423765417
18097320301,NA,2025,83634.1429102022
18097320301,NA,2026,83695.31007469793
18097320301,NA,2027,83682.4825470656
18097320301,NA,2028,83685.1726417678
18097320303,NA,2024,61217.60879400649
18097320303,NA,2025,62309.97616128647
18097320303,NA,2026,62715.765080754536
18097320303,NA,2027,62866.50617033238
18097320303,NA,2028,62922.50295830998
18097320304,NA,2024,101192.07148189617
18097320304,NA,2025,101297.39508465129
18097320304,NA,2026,101353.15406144486
18097320304,NA,2027,101382.67321395899
18097320304,NA,2028,101398.30083869785
18097320305,NA,2024,138664.26000972165
18097320305,NA,2025,144668.84482346557
18097320305,NA,2026,153447.16433857655
18097320305,NA,2027,160000.4037760337
18097320305,NA,2028,168338.59451021432
18097320306,NA,2024,70715.95522289115
18097320306,NA,2025,70542.51749292322
18097320306,NA,2026,70515.70871773873
18097320306,NA,2027,70511.56480725844
18097320306,NA,2028,70510.92427094336
18097320400,NA,2024,75920.37990379026
18097320400,NA,2025,76925.93739728029
18097320400,NA,2026,77580.23985729931
18097320400,NA,2027,78005.9854879157
18097320400,NA,2028,78283.01232651828
18097320500,NA,2024,75482.83142757615
18097320500,NA,2025,75482.83674640072
18097320500,NA,2026,75482.83662158703
18097320500,NA,2027,75482.83662451596
18097320500,NA,2028,75482.83662444723
18097320600,NA,2024,68655.92590983461
18097320600,NA,2025,68661.12007189804
18097320600,NA,2026,68660.94831015482
18097320600,NA,2027,68660.95399001156
18097320600,NA,2028,68660.95380218876
18097320700,NA,2024,135172.0383861501
18097320700,NA,2025,142752.24599797494
18097320700,NA,2026,148855.20013174595
18097320700,NA,2027,153768.79235325847
18097320700,NA,2028,157724.80906092297
18097320800,NA,2024,201530.0120200224
18097320800,NA,2025,205988.1178569088
18097320800,NA,2026,208444.20759129175
18097320800,NA,2027,209797.33311232118
18097320800,NA,2028,210542.80615022758
18097320901,NA,2024,91693.52081174753
18097320901,NA,2025,96536.17799356773
18097320901,NA,2026,101410.30931850061
18097320901,NA,2027,106277.3578751313
18097320901,NA,2028,111146.00029904039
18097320902,NA,2024,50413.13280158791
18097320902,NA,2025,50897.796327536154
18097320902,NA,2026,51113.66954911517
18097320902,NA,2027,51209.82130244492
18097320902,NA,2028,51252.648104216634
18097320903,NA,2024,44766.01694018178
18097320903,NA,2025,44766.11554588864
18097320903,NA,2026,44766.11598750702
18097320903,NA,2027,44766.11598948487
18097320903,NA,2028,44766.11598949372
18097321001,NA,2024,80471.21243530393
18097321001,NA,2025,82006.72972222086
18097321001,NA,2026,82824.78647249371
18097321001,NA,2027,83260.61148883765
18097321001,NA,2028,83492.80008065337
18097321002,NA,2024,109557.29866418755
18097321002,NA,2025,113820.66289005961
18097321002,NA,2026,116381.67594340086
18097321002,NA,2027,117920.0825893971
18097321002,NA,2028,118844.2071288475
18097321100,NA,2024,98252.17978980883
18097321100,NA,2025,102172.51442455738
18097321100,NA,2026,105036.03386126261
18097321100,NA,2027,107127.62662778534
18097321100,NA,2028,108655.38308192132
18097321200,NA,2024,140644.18353120194
18097321200,NA,2025,141327.8900884646
18097321200,NA,2026,141491.66885438267
18097321200,NA,2027,141530.9013056159
18097321200,NA,2028,141540.29925913655
18097321300,NA,2024,114538.8351939299
18097321300,NA,2025,117043.04757041753
18097321300,NA,2026,118522.48221216396
18097321300,NA,2027,119396.50027858261
18097321300,NA,2028,119912.85129461967
18097321400,NA,2024,74925.89234884531
18097321400,NA,2025,74940.83868537692
18097321400,NA,2026,74942.2997982279
18097321400,NA,2027,74942.44263261136
18097321400,NA,2028,74942.45659570879
18097321600,NA,2024,58161.62209443964
18097321600,NA,2025,57908.734546217536
18097321600,NA,2026,58045.7878765417
18097321600,NA,2027,57971.51132364299
18097321600,NA,2028,58011.76577275025
18097321700,NA,2024,131193.0708789181
18097321700,NA,2025,147637.90611828899
18097321700,NA,2026,160666.16185461552
18097321700,NA,2027,171847.19805895144
18097321700,NA,2028,182029.51024813502
18097321800,NA,2024,137162.13669769187
18097321800,NA,2025,136394.49931576388
18097321800,NA,2026,136077.8359964312
18097321800,NA,2027,135947.2070560337
18097321800,NA,2028,135893.3204230465
18097321900,NA,2024,144729.7300094867
18097321900,NA,2025,144730.63134383693
18097321900,NA,2026,144730.62423432717
18097321900,NA,2027,144730.62429040528
18097321900,NA,2028,144730.62428996296
18097322000,NA,2024,61807.59385794704
18097322000,NA,2025,64481.294636249535
18097322000,NA,2026,67091.55190410625
18097322000,NA,2027,69724.53600279265
18097322000,NA,2028,72349.37886156447
18097322100,NA,2024,109822.23588676643
18097322100,NA,2025,110337.22040419065
18097322100,NA,2026,110505.90314157054
18097322100,NA,2027,110561.1550276511
18097322100,NA,2028,110579.25273559014
18097322200,NA,2024,105850.41669985196
18097322200,NA,2025,107208.49979966291
18097322200,NA,2026,108004.72515329206
18097322200,NA,2027,108471.54107482891
18097322200,NA,2028,108745.22879854564
18097322300,NA,2024,109075.29287927342
18097322300,NA,2025,109179.85143939412
18097322300,NA,2026,109193.32683499268
18097322300,NA,2027,109195.0635295907
18097322300,NA,2028,109195.28735293634
18097322400,NA,2024,57811.70491056005
18097322400,NA,2025,58225.267884869274
18097322400,NA,2026,58468.66213350655
18097322400,NA,2027,58611.90696911751
18097322400,NA,2028,58696.21086308417
18097322500,NA,2024,40024.22125221558
18097322500,NA,2025,40024.02971807948
18097322500,NA,2026,40024.031232671914
18097322500,NA,2027,40024.03122069499
18097322500,NA,2028,40024.0312207897
18097322600,NA,2024,25601.176154013105
18097322600,NA,2025,25601.176236490515
18097322600,NA,2026,25601.176232007187
18097322600,NA,2027,25601.17623225089
18097322600,NA,2028,25601.176232237645
18097322602,NA,2024,62815.47773360991
18097322602,NA,2025,65993.61124871414
18097322602,NA,2026,63696.2198043346
18097322602,NA,2027,65356.94532880496
18097322602,NA,2028,64156.44931652342
18097322700,NA,2024,58921.23523430082
18097322700,NA,2025,58924.98813482367
18097322700,NA,2026,58925.251049496335
18097322700,NA,2027,58925.269468349885
18097322700,NA,2028,58925.27075870832
18097330103,NA,2024,71214.57451645748
18097330103,NA,2025,71231.49029323108
18097330103,NA,2026,71230.31480617981
18097330103,NA,2027,71230.39649145068
18097330103,NA,2028,71230.39081509426
18097330105,NA,2024,68109.3603775595
18097330105,NA,2025,69535.75916807142
18097330105,NA,2026,70577.35575871995
18097330105,NA,2027,71337.95893986906
18097330105,NA,2028,71893.37281542136
18097330106,NA,2024,46320.93288170732
18097330106,NA,2025,46085.78400483308
18097330106,NA,2026,45970.36177654015
18097330106,NA,2027,45913.707069270466
18097330106,NA,2028,45885.89825026493
18097330107,NA,2024,129203.15803124054
18097330107,NA,2025,133854.27303678228
18097330107,NA,2026,136562.7296254915
18097330107,NA,2027,138139.92930431737
18097330107,NA,2028,139058.37076550166
18097330108,NA,2024,145402.6946752894
18097330108,NA,2025,145376.61285489672
18097330108,NA,2026,145373.19969292535
18097330108,NA,2027,145372.75303412366
18097330108,NA,2028,145372.69458272675
18097330109,NA,2024,86685.47117505792
18097330109,NA,2025,86684.19151699837
18097330109,NA,2026,86684.15845494307
18097330109,NA,2027,86684.15760073089
18097330109,NA,2028,86684.15757866092
18097330202,NA,2024,41454.509624044666
18097330202,NA,2025,41454.82835376636
18097330202,NA,2026,41454.89312853812
18097330202,NA,2027,41454.906292578904
18097330202,NA,2028,41454.90896787926
18097330203,NA,2024,200851.41967579618
18097330203,NA,2025,208914.4382403747
18097330203,NA,2026,220255.39387045414
18097330203,NA,2027,228772.022861131
18097330203,NA,2028,239722.13998981763
18097330204,NA,2024,118760.05169269319
18097330204,NA,2025,119729.03148256826
18097330204,NA,2026,119433.30325574154
18097330204,NA,2027,119523.55816616991
18097330204,NA,2028,119496.01277781167
18097330206,NA,2024,143815.97040380145
18097330206,NA,2025,146382.68446841877
18097330206,NA,2026,148035.48677804487
18097330206,NA,2027,149099.78743870792
18097330206,NA,2028,149785.13007750426
18097330208,NA,2024,98431.54125803601
18097330208,NA,2025,101309.73537958351
18097330208,NA,2026,102949.63120110774
18097330208,NA,2027,103883.9873257762
18097330208,NA,2028,104416.35124563423
18097330209,NA,2024,94283.60344516912
18097330209,NA,2025,95270.18747035539
18097330209,NA,2026,96006.9107294394
18097330209,NA,2027,96557.052579114
18097330209,NA,2028,96967.86634266977
18097330210,NA,2024,78560.26678921742
18097330210,NA,2025,78530.17278329626
18097330210,NA,2026,78524.12436432729
18097330210,NA,2027,78522.90872782745
18097330210,NA,2028,78522.66440412776
18097330211,NA,2024,56712.97519999587
18097330211,NA,2025,63357.630723290604
18097330211,NA,2026,69418.24806393388
18097330211,NA,2027,74946.1618016641
18097330211,NA,2028,79988.19441554682
18097330212,NA,2024,79227.98832335582
18097330212,NA,2025,78301.21046869025
18097330212,NA,2026,78030.77154108338
18097330212,NA,2027,77951.8559593213
18097330212,NA,2028,77928.82795407088
18097330213,NA,2024,99148.06978074768
18097330213,NA,2025,101106.15250687182
18097330213,NA,2026,102216.17291923182
18097330213,NA,2027,102845.43403236914
18097330213,NA,2028,103202.1567953902
18097330401,NA,2024,104679.29028727816
18097330401,NA,2025,104685.3437401685
18097330401,NA,2026,104685.88831046798
18097330401,NA,2027,104685.93730016303
18097330401,NA,2028,104685.94170728957
18097330500,NA,2024,74514.89632345273
18097330500,NA,2025,74675.1454552928
18097330500,NA,2026,74691.91980105489
18097330500,NA,2027,74693.67568373903
18097330500,NA,2028,74693.85948369428
18097330600,NA,2024,49338.288908518516
18097330600,NA,2025,49351.29309055182
18097330600,NA,2026,49350.53034679721
18097330600,NA,2027,49350.57508456185
18097330600,NA,2028,49350.57246052518
18097330700,NA,2024,37996.035588337116
18097330700,NA,2025,38029.00190248554
18097330700,NA,2026,38051.33538223482
18097330700,NA,2027,38066.46550310504
18097330700,NA,2028,38076.71561012453
18097330702,NA,2024,60027.57686571401
18097330702,NA,2025,65214.38011002179
18097330702,NA,2026,69004.28453792231
18097330702,NA,2027,71773.4999671721
18097330702,NA,2028,73796.91618768171
18097330803,NA,2024,32551.32478202932
18097330803,NA,2025,32519.662549333258
18097330803,NA,2026,32507.4444163185
18097330803,NA,2027,32502.729563269462
18097330803,NA,2028,32500.910149513926
18097330804,NA,2024,67139.14386208031
18097330804,NA,2025,75644.42878137509
18097330804,NA,2026,83077.85576844764
18097330804,NA,2027,89810.68626097278
18097330804,NA,2028,96085.587177743
18097330805,NA,2024,28773.55155467603
18097330805,NA,2025,28687.15427676254
18097330805,NA,2026,28657.34978098615
18097330805,NA,2027,28647.06811482794
18097330805,NA,2028,28643.521245262287
18097330806,NA,2024,44832.77246402699
18097330806,NA,2025,46802.62380658534
18097330806,NA,2026,47793.821723561436
18097330806,NA,2027,48292.57677648932
18097330806,NA,2028,48543.542399560836
18097330900,NA,2024,34971.31400301878
18097330900,NA,2025,35136.788721750665
18097330900,NA,2026,35077.22222914655
18097330900,NA,2027,35098.66458039118
18097330900,NA,2028,35090.9459048943
18097331000,NA,2024,47534.0711683496
18097331000,NA,2025,47759.2554303441
18097331000,NA,2026,47824.84829413989
18097331000,NA,2027,47843.95453070734
18097331000,NA,2028,47849.51989642926
18097340101,NA,2024,62030.107457619495
18097340101,NA,2025,65099.295309691384
18097340101,NA,2026,63227.625292502795
18097340101,NA,2027,64369.01800682554
18097340101,NA,2028,63672.967251967624
