GEOID,NAME,year,zhvi_forecast
18097310305,NA,2025,217779.44314126068
18097310305,NA,2026,222370.0660317569
18097310305,NA,2027,226201.01510605356
18097310305,NA,2028,229387.0420147581
18097310306,NA,2024,212301.5272225102
18097310306,NA,2025,217779.44314126068
18097310306,NA,2026,222370.0660317569
18097310306,NA,2027,226201.01510605356
18097310306,NA,2028,229387.0420147581
18097310308,NA,2024,245601.06851762056
18097310308,NA,2025,250124.47588285434
18097310308,NA,2026,253755.963874355
18097310308,NA,2027,256661.41497188387
18097310308,NA,2028,258979.69338235722
18097310309,NA,2024,212301.52723264802
18097310309,NA,2025,217779.44316869095
18097310309,NA,2026,222370.0660811251
18097310309,NA,2027,226201.01517999414
18097310309,NA,2028,229387.04211436247
18097310310,NA,2024,212301.5272225102
18097310310,NA,2025,217779.44314126068
18097310310,NA,2026,222370.0660317569
18097310310,NA,2027,226201.01510605356
18097310310,NA,2028,229387.0420147581
18097310311,NA,2024,252700.91582115475
18097310311,NA,2025,257039.33093265642
18097310311,NA,2026,260491.37242590234
18097310311,NA,2027,263229.13393412426
18097310311,NA,2028,265394.83281273214
18097310312,NA,2024,212301.5272225102
18097310312,NA,2025,217779.44314126068
18097310312,NA,2026,222370.0660317569
18097310312,NA,2027,226201.01510605356
18097310312,NA,2028,229387.0420147581
18097320105,NA,2024,293578.21209870646
18097320105,NA,2025,297944.2796746462
18097320105,NA,2026,301502.3184078377
18097320105,NA,2027,304394.3212271692
18097320105,NA,2028,306740.0415565956
18097320106,NA,2024,293578.21209870646
18097320106,NA,2025,297944.2796746462
18097320106,NA,2026,301502.3184078377
18097320106,NA,2027,304394.3212271692
18097320106,NA,2028,306740.0415565956
18097320107,NA,2024,293578.21209870646
18097320107,NA,2025,297944.2796746462
18097320107,NA,2026,301502.3184078377
18097320107,NA,2027,304394.3212271692
18097320107,NA,2028,306740.0415565956
18097320108,NA,2024,293578.21209870646
18097320108,NA,2025,297944.2796746462
18097320108,NA,2026,301502.3184078377
18097320108,NA,2027,304394.3212271692
18097320108,NA,2028,306740.0415565956
18097320109,NA,2024,293578.21209870646
18097320109,NA,2025,297944.2796746462
18097320109,NA,2026,301502.3184078377
18097320109,NA,2027,304394.3212271692
18097320109,NA,2028,306740.0415565956
18097320202,NA,2024,327491.6033053208
18097320202,NA,2025,329408.06926481344
18097320202,NA,2026,330872.5327950705
18097320202,NA,2027,331990.22282945464
18097320202,NA,2028,332842.45461870305
18097320206,NA,2024,315048.2787823894
18097320206,NA,2025,328634.78562390525
18097320206,NA,2026,340767.0511819995
18097320206,NA,2027,351540.85656795953
18097320206,NA,2028,361062.8850245262
18097320301,NA,2024,327491.6033053208
18097320301,NA,2025,329408.06926481344
18097320301,NA,2026,330872.5327950705
18097320301,NA,2027,331990.22282945464
18097320301,NA,2028,332842.45461870305
18097320305,NA,2024,327491.6033053208
18097320305,NA,2025,329408.06926481344
18097320305,NA,2026,330872.5327950705
18097320305,NA,2027,331990.22282945464
18097320305,NA,2028,332842.45461870305
18097320306,NA,2024,327491.6033053208
18097320306,NA,2025,329408.06926481344
18097320306,NA,2026,330872.5327950705
18097320306,NA,2027,331990.22282945464
18097320306,NA,2028,332842.45461870305
18097320400,NA,2024,327491.6033053208
18097320400,NA,2025,329408.06926481344
18097320400,NA,2026,330872.5327950705
18097320400,NA,2027,331990.22282945464
18097320400,NA,2028,332842.45461870305
18097320500,NA,2024,327491.6033053208
18097320500,NA,2025,329408.06926481344
18097320500,NA,2026,330872.5327950705
18097320500,NA,2027,331990.22282945464
18097320500,NA,2028,332842.45461870305
18097320600,NA,2024,327491.6033053208
18097320600,NA,2025,329408.06926481344
18097320600,NA,2026,330872.5327950705
18097320600,NA,2027,331990.22282945464
18097320600,NA,2028,332842.45461870305
18097320700,NA,2024,327466.2463699864
18097320700,NA,2025,329384.33570519433
18097320700,NA,2026,330850.11621772795
18097320700,NA,2027,331968.8686681552
18097320700,NA,2028,332821.95355455944
