GEOID,NAME,year,percent_bachelors_plus
18097310306,NA,2024,21.30406247184049
18097310306,NA,2025,22.517988294697496
18097310306,NA,2026,22.518440786775887
18097310306,NA,2027,23.733395343647732
18097310306,NA,2028,24.94895998620292
18097310308,NA,2024,40.13175207583009
18097310308,NA,2025,40.46017138108876
18097310308,NA,2026,40.45231242233928
18097310308,NA,2027,40.767264348999284
18097310308,NA,2028,41.075963377896024
18097310309,NA,2024,20.853048154178936
18097310309,NA,2025,23.232296219056227
18097310309,NA,2026,22.23434547033054
18097310309,NA,2027,23.188668895664716
18097310309,NA,2028,23.389334400250036
18097310310,NA,2024,28.82131400797555
18097310310,NA,2025,28.05411725498888
18097310310,NA,2026,28.050312719050677
18097310310,NA,2027,27.2751307812498
18097310310,NA,2028,26.49573101239241
18097310311,NA,2024,45.498828117861805
18097310311,NA,2025,47.17067505322544
18097310311,NA,2026,47.198634871664154
18097310311,NA,2027,48.93125819851705
18097310311,NA,2028,50.69754173999889
18097310312,NA,2024,30.919170198947768
18097310312,NA,2025,31.774368075774156
18097310312,NA,2026,31.777680794965416
18097310312,NA,2027,32.6390910947234
18097310312,NA,2028,33.503452591195575
18097320105,NA,2024,56.01838131080797
18097320105,NA,2025,57.29026721728191
18097320105,NA,2026,57.2870078536647
18097320105,NA,2027,58.55320613188521
18097320105,NA,2028,59.81676422510793
18097320106,NA,2024,39.12940304732479
18097320106,NA,2025,37.909823559893475
18097320106,NA,2026,37.876844082472495
18097320106,NA,2027,36.58489135515035
18097320106,NA,2028,35.252297330348554
18097320107,NA,2024,68.20040871207948
18097320107,NA,2025,69.99473761591898
18097320107,NA,2026,69.99487923088824
18097320107,NA,2027,71.78948859402692
18097320107,NA,2028,73.58423685570195
18097320108,NA,2024,35.42495158756509
18097320108,NA,2025,37.001993702883595
18097320108,NA,2026,37.023657322048315
18097320108,NA,2027,38.64169085677546
18097320108,NA,2028,40.279304044864396
18097320109,NA,2024,64.25498184920127
18097320109,NA,2025,64.63030412320909
18097320109,NA,2026,64.82147152126929
18097320109,NA,2027,65.5125062115986
18097320109,NA,2028,66.35130400828955
18097320202,NA,2024,72.78659124644271
18097320202,NA,2025,72.81441689640128
18097320202,NA,2026,72.83464993872421
18097320202,NA,2027,72.89940848928023
18097320202,NA,2028,72.98148387846005
18097320203,NA,2024,48.65368168553908
18097320203,NA,2025,48.683602658908114
18097320203,NA,2026,48.6600472598241
18097320203,NA,2027,48.632596385930164
18097320203,NA,2028,48.56685921267143
18097320204,NA,2024,41.0183965126339
18097320204,NA,2025,40.992859949469484
18097320204,NA,2026,40.98490762742998
18097320204,NA,2027,40.94664156887375
18097320204,NA,2028,40.902330585340486
18097320205,NA,2024,68.71439846762956
18097320205,NA,2025,71.85028956189164
18097320205,NA,2026,71.62247112096223
18097320205,NA,2027,74.45190334794371
18097320205,NA,2028,77.10501174795591
18097320206,NA,2024,32.378198631367084
18097320206,NA,2025,36.51425703790108
18097320206,NA,2026,36.50482335961454
18097320206,NA,2027,40.6226790209318
18097320206,NA,2028,44.73171879283439
18097320301,NA,2024,66.29558431005098
18097320301,NA,2025,65.95881992350195
18097320301,NA,2026,66.38551413736946
18097320301,NA,2027,66.63426608611341
18097320301,NA,2028,67.21000615332999
18097320303,NA,2024,38.11170702822268
18097320303,NA,2025,35.82000910252093
18097320303,NA,2026,35.78184776018659
18097320303,NA,2027,33.40341337646209
18097320303,NA,2028,30.973562083002236
18097320304,NA,2024,73.39812423328587
18097320304,NA,2025,74.01713151748612
18097320304,NA,2026,74.06403087587363
