GEOID,NAME,year,estimate,income_zscore
18097310203,NA,2025,66901.6564585453,-0.23971811008939922
18097310203,NA,2026,71522.15216278625,-0.22667061538099006
18097310203,NA,2027,76461.7600821864,-0.20951837549603763
18097310203,NA,2028,81742.51720345898,-0.19891965719968607
18097310204,NA,2024,96423.8792831291,0.765926331847065
18097310204,NA,2025,102676.83383845486,0.7702417560821281
18097310204,NA,2026,108989.53058321368,0.7268577169208013
18097310204,NA,2027,115739.28573997912,0.7024827465747823
18097310204,NA,2028,122900.11258620906,0.6509629751347314
18097310305,NA,2024,46508.455960016705,-0.7486423524904048
18097310305,NA,2025,48733.57169823385,-0.752616655867721
18097310305,NA,2026,49982.67958377033,-0.7748407365051173
18097310305,NA,2027,51799.72252131449,-0.7821564312643363
18097310305,NA,2028,53412.51134975319,-0.7839193328388545
18097310306,NA,2024,60865.56023886495,-0.3130090533845849
18097310306,NA,2025,65616.73426352903,-0.2759924193496583
18097310306,NA,2026,71047.23125773195,-0.23875714392030165
18097310306,NA,2027,76869.12083544086,-0.20005969759222805
18097310306,NA,2028,83178.96905088762,-0.16925768433754068
18097310308,NA,2024,73256.99416650328,0.06298050117355214
18097310308,NA,2025,73271.48413806435,-0.05989313696835719
18097310308,NA,2026,78077.78741131301,-0.0598325762856664
18097310308,NA,2027,79461.30449906683,-0.13987071240926002
18097310308,NA,2028,83613.03635284601,-0.16029442354040208
18097310309,NA,2024,45961.16465011802,-0.7652486481801534
18097310309,NA,2025,46269.03475528745,-0.8221923668317911
18097310309,NA,2026,48761.61492305171,-0.8059162960626253
18097310309,NA,2027,50130.90098172462,-0.8209054891836698
18097310309,NA,2028,52234.156069082455,-0.8082517477539722
18097310310,NA,2024,80359.89986140888,0.27850183340124207
18097310310,NA,2025,83861.49083061384,0.23907062856056446
18097310310,NA,2026,87553.51476593524,0.18132052496449366
18097310310,NA,2027,91403.13177087496,0.13741151678086075
18097310310,NA,2028,95422.65845302044,0.0835680427682483
18097310311,NA,2024,101553.7334083984,0.9215799534352993
18097310311,NA,2025,107190.3188537795,0.8976607950888887
18097310311,NA,2026,113139.21821520197,0.8324654454067064
18097310311,NA,2027,119418.26871723974,0.7879065747602384
18097310311,NA,2028,126045.79672271216,0.715919693076139
18097310312,NA,2024,54592.52710992029,-0.5033498118192999
18097310312,NA,2025,58124.17362364313,-0.4875129790042626
18097310312,NA,2026,59531.208403208366,-0.5318348699358578
18097310312,NA,2027,62071.89883176652,-0.5436425186807703
18097310312,NA,2028,64189.847492924346,-0.561373026969147
18097320105,NA,2024,88500.97404403267,0.5255239999579461
18097320105,NA,2025,93895.54735733164,0.5223395074053818
18097320105,NA,2026,99623.4289993564,0.48849454340996257
18097320105,NA,2027,105702.13633512676,0.46942602097115027
18097320105,NA,2028,112152.19041646992,0.429024052299318
18097320106,NA,2024,69997.81792670005,-0.035911703698465504
18097320106,NA,2025,66181.60252107639,-0.2600457683033533
18097320106,NA,2026,64729.43886926753,-0.39954218664207936
18097320106,NA,2027,67140.7067372689,-0.42594777034922776
18097320106,NA,2028,71084.50509293495,-0.4190019847435509
18097320107,NA,2024,126772.78626503376,1.6867940929220298
18097320107,NA,2025,132144.99614372215,1.6021498956868252
18097320107,NA,2026,138530.21990095073,1.4786552914431186
18097320107,NA,2027,144984.00785505364,1.3815280514132675
18097320107,NA,2028,151811.4741597728,1.247967339699984
18097320108,NA,2024,41464.355426083945,-0.9016939786359268
18097320108,NA,2025,50222.33709220702,-0.7105877014871251
18097320108,NA,2026,48812.93235606001,-0.804610289921354
18097320108,NA,2027,54912.96671763246,-0.7098687259475648
18097320108,NA,2028,56056.608782089344,-0.7293201157309387
18097320109,NA,2024,70928.73265930363,-0.007665237818310991
18097320109,NA,2025,76663.10635634829,0.03585488086274511
18097320109,NA,2026,76366.27541509739,-0.10338980522101739
18097320109,NA,2027,80090.25329734047,-0.12526688999060276
18097320109,NA,2028,81311.16978922303,-0.20782675375020854
18097320202,NA,2024,98336.21700355168,0.823951820411603
18097320202,NA,2025,98267.0496162968,0.6457502675966749
18097320202,NA,2026,99697.98950728025,0.49039207560392667
18097320202,NA,2027,100577.31531031834,0.3504306808430963
18097320202,NA,2028,101680.20892212485,0.21278315884076965
18097320203,NA,2024,54435.25006167061,-0.508122022013773
18097320203,NA,2025,56057.0842908339,-0.5458684483219631
18097320203,NA,2026,57720.76189398599,-0.5779099387941374
18097320203,NA,2027,59434.3377848151,-0.6048851401052371
18097320203,NA,2028,61198.742921033954,-0.6231377584483615
18097320204,NA,2024,45713.0622782472,-0.7727767438653884
18097320204,NA,2025,48168.76744634291,-0.7685614999867392
18097320204,NA,2026,48650.00606006431,-0.8087566926284135
18097320204,NA,2027,50865.486445486495,-0.8038488453144849
18097320204,NA,2028,51701.488828191665,-0.8192510452745536
