GEOID,NAME,year,percent_white,white_delta,white_delta_zscore_raw,white_delta_zscore
18097322601,NA,2028,9.972969702781834,0.05376656353162068,0.7717276740741134,0.7717276740741134
18097322602,NA,2024,30.52818182218852,0.012546141100580499,0.37218273018949716,0.37218273018949716
18097322602,NA,2025,32.36265269938515,0.06009106234631045,1.26781652806434,1.26781652806434
18097322602,NA,2026,33.53867567176586,0.036338892961115254,0.8723146749512323,0.8723146749512323
18097322602,NA,2027,35.01242692740161,0.04394184403877377,0.8450303643205821,0.8450303643205821
18097322602,NA,2028,36.35155533740044,0.03824723184072654,0.6459034346544356,0.6459034346544356
18097322700,NA,2024,33.67827673308582,0.06733354181167095,1.0857356510904363,1.0857356510904363
18097322700,NA,2025,35.44281506926793,0.052393961548769186,1.1493734076778959,1.1493734076778959
18097322700,NA,2026,36.989201513573136,0.04363046336141796,0.976024773855103,0.976024773855103
18097322700,NA,2027,38.403422621607035,0.038233350550023415,0.7816789801335852,0.7816789801335852
18097322700,NA,2028,39.73757256472267,0.034740391664075165,0.6174714437168087,0.6174714437168087
18097330103,NA,2024,63.20987176533743,-0.0318487995435659,-0.20601844669973568,-0.20601844669973568
18097330103,NA,2025,61.61056399511887,-0.025301550621015134,-0.04620647927795917,-0.04620647927795917
18097330103,NA,2026,59.94623776932538,-0.02701365022279867,-0.028766732579674072,-0.028766732579674072
18097330103,NA,2027,58.29071721956865,-0.027616754801647714,0.05089154363934451,0.05089154363934451
18097330103,NA,2028,56.63400408641728,-0.028421560278815705,0.10538079949535022,0.10538079949535022
18097330105,NA,2024,63.18699848193234,-0.050857622933396573,-0.45358999192104593,-0.45358999192104593
18097330105,NA,2025,61.36996406681231,-0.028756460328458133,-0.09937068969517011,-0.09937068969517011
18097330105,NA,2026,60.139984068490115,-0.02004205179235785,0.07039231314647997,0.07039231314647997
18097330105,NA,2027,59.12969788731418,-0.01679891002341094,0.1709451868592127,0.1709451868592127
18097330105,NA,2028,58.20162788901882,-0.015695497042180317,0.20855838854680983,0.20855838854680983
18097330106,NA,2024,33.130623022517945,-0.04071527480463544,-0.32149571407357175,-0.32149571407357175
18097330106,NA,2025,28.98241115170721,-0.1252077833849159,-1.5835653194260282,-1.5835653194260282
18097330106,NA,2026,26.04213506120005,-0.1014503615698642,-1.0875014456892889,-1.0875014456892889
18097330106,NA,2027,22.56973302147061,-0.13333784006453986,-1.1223737149362414,-1.1223737149362414
18097330106,NA,2028,19.3317457829689,-0.1434659078785474,-0.8273505722274789,-0.8273505722274789
18097330107,NA,2024,83.55468790238356,-0.006928673067266078,0.11854210564610769,0.11854210564610769
18097330107,NA,2025,83.28878294183178,-0.0031824062446673684,0.29416329748912934,0.29416329748912934
