GEOID,NAME,year,housing_pressure_forecast,housing_pressure_delta,housing_pressure_delta_zscore
18097320203,NA,2026,39.12110211248902,0.044129423132647005,0.45661609410013876
18097320203,NA,2027,38.375918721557085,-0.019048118552213333,-0.10095214843639855
18097320203,NA,2028,39.32474230068334,0.02472445248830657,0.41519667771609337
18097320204,NA,2024,26.653226631980395,-0.15514310765381079,1.4524870493569453
18097320204,NA,2025,25.254739300450705,-0.05246971973936121,-0.3672985248125093
18097320204,NA,2026,24.085189603795506,-0.04631010768875077,-0.3268373615012012
18097320204,NA,2027,22.86684546518638,-0.050584785033916946,-0.41438744785196685
18097320204,NA,2028,21.777852889432477,-0.04762320965573663,-0.37088713653858046
18097320205,NA,2024,21.747515588504935,-0.14086547328579513,1.5080006667335084
18097320205,NA,2025,18.573676152088137,-0.14594032240144217,-1.1209197761471723
18097320205,NA,2026,16.572361918489783,-0.10775003382264514,-0.8590750014393101
18097320205,NA,2027,14.453022560397956,-0.12788396539465385,-1.1826453027207413
18097320205,NA,2028,12.755709589198464,-0.11743654063408293,-1.1294345156096393
18097320206,NA,2024,40.22596274812674,-0.1977663111026997,1.2867615414306715
18097320206,NA,2025,40.23430910821601,2.074868945096675e-4,0.05741963522495981
18097320206,NA,2026,40.24248596983931,2.032310683228733e-4,0.0760952460634017
18097320206,NA,2027,40.25066560863775,2.0325878487170712e-4,0.09038263399255829
18097320206,NA,2028,40.25884690275408,2.0325860436387622e-4,0.14876493621779352
18097320301,NA,2024,7.075675088175669,-0.8300841404881758,-1.1717865020406755
18097320301,NA,2025,7.18447090249131,0.015376033093641217,0.17971839485577384
18097320301,NA,2026,7.056953792284573,-0.01774899111394812,-0.0794200510271882
18097320301,NA,2027,7.009728076992711,-0.006692082261257615,0.0218515073238638
18097320301,NA,2028,6.936563527323052,-0.010437573164899017,0.03314840658659813
18097320303,NA,2024,45.710247255575354,0.06140743627352929,2.294468551922887
18097320303,NA,2025,48.0300093972919,0.05074928010663071,0.46492069288817833
18097320303,NA,2026,50.49586344635683,0.05133986189067796,0.5190781956842022
18097320303,NA,2027,53.08665329014527,0.0513069718382122,0.5982900759986415
18097320303,NA,2028,55.810465925903614,0.051308803003107695,0.7040453707194884
18097320304,NA,2024,12.39525748087983,-0.4088470441935904,0.46604749662909545
18097320304,NA,2025,11.520084193639985,-0.07060549477006295,-0.5135210277525272
18097320304,NA,2026,11.715318362054989,0.016947286593859134,0.22114451868919868
18097320304,NA,2027,11.051906305116562,-0.05662774467035969,-0.4744469618815647
18097320304,NA,2028,11.100118125517742,0.004362308100536394,0.19395453039038776
18097320305,NA,2024,4.275279465372372,-0.9198385100242681,-1.5207651633420967
18097320305,NA,2025,4.015426909512117,-0.06078025026549283,-0.434303467928159
18097320305,NA,2026,3.77132404346727,-0.06079126118983591,-0.45228371939887313
18097320305,NA,2027,3.5420607041357144,-0.060791206666180875,-0.5158266035130812
18097320305,NA,2028,3.3267345588901183,-0.06079120693617168,-0.5139622438957547
18097320306,NA,2024,23.64524725870211,-0.4006839252505888,0.49778694659122147
18097320306,NA,2025,24.871921863630767,0.05187827352819108,0.4740233776989407
18097320306,NA,2026,26.15852876084345,0.051729291538746613,0.5224517205214276
18097320306,NA,2027,27.511794769503695,0.051733261493128735,0.6025268657590317
18097320306,NA,2028,28.935066731830236,0.05173315569743253,0.7086561179732139
18097320400,NA,2024,25.427320638412223,-0.5316384536357858,-0.011384208455974884
18097320400,NA,2025,25.498537719245633,0.002800809485440814,0.07832870139582375
18097320400,NA,2026,25.486237193888535,-4.8240120639597706e-4,0.07015579712971486
18097320400,NA,2027,25.484140725712777,-8.225883482948504e-5,0.08754494343729993
18097320400,NA,2028,25.480799622992492,-1.3110517463565952e-4,0.1451319514473768
18097320500,NA,2024,32.18043473969943,-0.5114689658294498,0.06703783261200945
18097320500,NA,2025,33.74139334730155,0.048506448723529605,0.44683751651692977
18097320500,NA,2026,35.380933072934035,0.04859134620662009,0.49526853976391577
18097320500,NA,2027,37.10022494349839,0.04859374022217611,0.5713239232998634
18097320500,NA,2028,38.903066141070106,0.04859380772804878,0.6745459539000126
18097320600,NA,2024,8.741595832213118,-0.7552353166980327,-0.8807628732047955
18097320600,NA,2025,8.29055259209278,-0.051597356910305314,-0.36026496401235353
18097320600,NA,2026,7.75206128576329,-0.06495240218885812,-0.48833057043093353
18097320600,NA,2027,7.27832928113027,-0.06111045658308101,-0.5189995512103288
