GEOID,NAME,year,estimate,income_delta,income_delta_zscore_raw,income_delta_zscore
18097360800,NA,2025,42360.955331066565,0.043757078998797105,-0.24399233560136185,-0.24399233560136185
18097360800,NA,2026,44213.65311024124,0.04373597726243794,-0.2800678346914413,-0.2800678346914413
18097360800,NA,2027,46147.33636185129,0.04373498038691004,-0.27771725566770705,-0.27771725566770705
18097360800,NA,2028,48165.5870392701,0.043734933292644884,-0.2783680619537879,-0.2783680619537879
18097360900,NA,2024,39943.54760481186,8.155046180715608e-4,-0.4760650062367818,-0.4760650062367818
18097360900,NA,2025,39877.74284740335,-0.001647443989190922,-1.0965972371656194,-1.0965972371656194
18097360900,NA,2026,39805.02601277824,-0.0018234942459850467,-1.1038208782118522,-1.1038208782118522
18097360900,NA,2027,39731.940256831505,-0.0018360936612193957,-1.238084603207822,-1.238084603207822
18097360900,NA,2028,39658.95286357563,-0.001836995444573719,-1.1705313864133409,-1.1705313864133409
18097361000,NA,2024,99074.06118973967,0.056181625407655034,-0.0780941451796165,-0.0780941451796165
18097361000,NA,2025,103558.701857482,0.04526553786014342,-0.2156665360035518,-0.2156665360035518
18097361000,NA,2026,108590.0702574666,0.04858469939985155,-0.1923989156799287,-0.1923989156799287
18097361000,NA,2027,113755.77601948335,0.04757070098369831,-0.19688306660400326,-0.19688306660400326
18097361000,NA,2028,119202.40609501516,0.04788003094101301,-0.19721933288634033,-0.19721933288634033
18097361100,NA,2024,82925.7519051958,0.09112831454204984,0.1731021417838143,0.1731021417838143
18097361100,NA,2025,89363.07213985537,0.07762751722792927,0.39202583509778466,0.39202583509778466
18097361100,NA,2026,95440.38939998257,0.06800703147958087,0.15877296215854056,0.15877296215854056
18097361100,NA,2027,101274.75825600448,0.06113102526824954,0.08888796111380462,0.08888796111380462
18097361100,NA,2028,106967.002181627,0.056205949277445155,-0.03422252348986768,-0.03422252348986768
18097361200,NA,2024,74693.7312958259,0.06524239215941319,-0.012965487173405945,-0.012965487173405945
18097361200,NA,2025,80773.39638701225,0.08139458272753486,0.46276368890867126,0.46276368890867126
18097361200,NA,2026,87054.20125292023,0.07775833562593504,0.33508463134389044,0.33508463134389044
18097361200,NA,2027,93894.14726828987,0.07857111910656012,0.45642146806296835,0.45642146806296835
18097361200,NA,2028,101254.4299131399,0.07838915266804669,0.4000588649113686,0.4000588649113686
18097361300,NA,2024,66512.10170414412,0.007072476404635042,-0.4310899851589543,-0.4310899851589543
18097361300,NA,2025,70804.58662829043,0.06453690101750098,0.14621059883904433,0.14621059883904433
18097361300,NA,2026,74234.62911579473,0.048443789461144915,-0.19494668427839468,-0.19494668427839468
18097361300,NA,2027,78156.96767736513,0.052837046649107045,-0.08589980532347241,-0.08589980532347241
18097361300,NA,2028,82192.15296667226,0.05162924572463612,-0.12382081721767371,-0.12382081721767371
18097361400,NA,2024,55843.92564386356,0.034261689148119334,-0.2356543242768458,-0.2356543242768458
18097361400,NA,2025,56189.15689577911,0.006182073483107509,-0.9495747703613614,-0.9495747703613614
18097361400,NA,2026,56537.63997619472,0.006201963148548151,-0.9587139501569937,-0.9587139501569937
18097361400,NA,2027,56887.996269082905,0.006196868016346446,-1.0687975223058532,-1.0687975223058532
18097361400,NA,2028,57240.59792429325,0.006198173223442849,-1.0132265939656113,-1.0132265939656113
18097361402,NA,2024,82347.21482528799,0.10337676633733506,0.26114383294928833,0.26114383294928833
18097361402,NA,2025,89548.59286239222,0.0874513856040311,0.5764981690985713,0.5764981690985713
18097361402,NA,2026,97920.55023825828,0.09349066365265046,0.619538174473168,0.619538174473168
18097361402,NA,2027,106849.546865241,0.09118613616096805,0.722271038668214,0.722271038668214
18097361402,NA,2028,116686.48393616072,0.09206344209700856,0.6677609318331325,0.6677609318331325
18097361600,NA,2024,82539.87023574376,0.03565798684714494,-0.2256177569745199,-0.2256177569745199
18097361600,NA,2025,84763.36913216265,0.026938483063619012,-0.5598114740505237,-0.5598114740505237
18097361600,NA,2026,86007.39496463267,0.014676455704944136,-0.8054880938313416,-0.8054880938313416
18097361600,NA,2027,88228.26640723676,0.025821866172290653,-0.6552192203198501,-0.6552192203198501
18097361600,NA,2028,89611.76157028123,0.015680860787388173,-0.8275836708704702,-0.8275836708704702
18097361601,NA,2024,96149.68965910828,0.06781970457568365,0.005560196527906425,0.005560196527906425
18097361601,NA,2025,98216.80708134756,0.02149895053814621,-0.6619548683256548,-0.6619548683256548
18097361601,NA,2026,104540.17315322324,0.0643817108271334,0.09322415699650329,0.09322415699650329
18097361601,NA,2027,107107.48583612802,0.024558144543551652,-0.6818509601673547,-0.6818509601673547
18097361601,NA,2028,113687.56892307349,0.06143439028167319,0.06813485828719826,0.06813485828719826
18097361602,NA,2024,54501.31683810555,-0.3297837302708402,-2.8524074390686205,-2.8524074390686205
18097361602,NA,2025,60893.73446748757,0.11728923263213065,1.1367924515649332,1.1367924515649332
18097361602,NA,2026,41274.78064151917,-0.32218345610652876,-6.896194776928313,-4
18097361602,NA,2027,45610.12289117277,0.10503610636497429,1.014146080592469,1.014146080592469
18097361602,NA,2028,31250.49368943677,-0.3148342580878052,-7.2980903053420025,-4
18097370201,NA,2024,56356.39058992283,0.037240546075549386,-0.21424234454142468,-0.21424234454142468
18097370201,NA,2025,58490.30009174876,0.03786455235136188,-0.35464204121616144,-0.35464204121616144
18097370201,NA,2026,60702.5480194045,0.0378224752512053,-0.38698885722166015,-0.38698885722166015
18097370201,NA,2027,62998.64081831115,0.037825311684983376,-0.4022579423786692,-0.4022579423786692
18097370201,NA,2028,65381.57199708919,0.03782512047601849,-0.3940646847545914,-0.3940646847545914
18097370202,NA,2024,35010.318764731725,0.10498418017711542,0.2726978999630089,0.2726978999630089
18097370202,NA,2025,35261.49648975821,0.0071743912620274575,-0.9309410540146368,-0.9309410540146368
