GEOID,year,zhvi_forecast,NAME,zhvi_zscore
18097320108,2025,326911.4115244342,NA,0.9634788689785725
18097320108,2026,327132.71703641233,NA,0.9643311865185101
18097320108,2027,350407.8967404912,NA,0.9194769109067067
18097320108,2028,375668.0515174768,NA,0.867557478796724
18097320109,2024,305659.5079597998,NA,1.0036430697461278
18097320109,2025,326911.4115244342,NA,0.9634788689785725
18097320109,2026,327132.71703641233,NA,0.9643311865185101
18097320109,2027,350407.8967404912,NA,0.9194769109067067
18097320109,2028,375668.0515174768,NA,0.867557478796724
18097320202,2024,345765.28677459515,NA,1.6061407100515535
18097320202,2025,369662.87544450304,NA,1.5931559794500738
18097320202,2026,369718.944202198,NA,1.591725814161915
18097320202,2027,395397.6225311106,NA,1.5727710932015706
18097320202,2028,422930.5100226681,NA,1.5484712461112402
18097320206,2024,322737.0514028475,NA,1.2601941187648762
18097320206,2025,348725.99647422566,NA,1.2847811954439736
18097320206,2026,348851.83385144523,NA,1.2843045232938997
18097320206,2027,377251.1855309155,NA,1.3092673373267227
18097320206,2028,408157.91692075046,NA,1.3356413946779655
18097320301,2024,345765.28677459515,NA,1.6061407100515535
18097320301,2025,369662.87544450304,NA,1.5931559794500738
18097320301,2026,369718.944202198,NA,1.591725814161915
18097320301,2027,395397.6225311106,NA,1.5727710932015706
18097320301,2028,422930.5100226681,NA,1.5484712461112402
18097320305,2024,345765.28677459515,NA,1.6061407100515535
18097320305,2025,369662.87544450304,NA,1.5931559794500738
18097320305,2026,369718.944202198,NA,1.591725814161915
18097320305,2027,395397.6225311106,NA,1.5727710932015706
18097320305,2028,422930.5100226681,NA,1.5484712461112402
18097320306,2024,345765.28677459515,NA,1.6061407100515535
18097320306,2025,369662.87544450304,NA,1.5931559794500738
18097320306,2026,369718.944202198,NA,1.591725814161915
18097320306,2027,395397.6225311106,NA,1.5727710932015706
18097320306,2028,422930.5100226681,NA,1.5484712461112402
18097320400,2024,345765.28677459515,NA,1.6061407100515535
18097320400,2025,369662.87544450304,NA,1.5931559794500738
18097320400,2026,369718.944202198,NA,1.591725814161915
18097320400,2027,395397.6225311106,NA,1.5727710932015706
18097320400,2028,422930.5100226681,NA,1.5484712461112402
18097320500,2024,345765.28677459515,NA,1.6061407100515535
18097320500,2025,369662.87544450304,NA,1.5931559794500738
18097320500,2026,369718.944202198,NA,1.591725814161915
18097320500,2027,395397.6225311106,NA,1.5727710932015706
18097320500,2028,422930.5100226681,NA,1.5484712461112402
18097320600,2024,345765.28677459515,NA,1.6061407100515535
18097320600,2025,369662.87544450304,NA,1.5931559794500738
18097320600,2026,369718.944202198,NA,1.591725814161915
18097320600,2027,395397.6225311106,NA,1.5727710932015706
18097320600,2028,422930.5100226681,NA,1.5484712461112402
18097320700,2024,345734.7262446327,NA,1.605681607953726
18097320700,2025,369630.323097554,NA,1.5926765229382625
18097320700,2026,369686.5061424968,NA,1.591247925751925
18097320700,2027,395363.3338714255,NA,1.5722731888134613
18097320700,2028,422894.42293476703,NA,1.5479513367423394
18097320800,2024,309092.67606377334,NA,1.055218571894283
18097320800,2025,330552.1709576837,NA,1.0171028310524004
18097320800,2026,330762.1690683965,NA,1.0178014950596188
18097320800,2027,354226.65533958894,NA,0.9749289665157943
18097320800,2028,379663.7092741048,NA,0.9251232183290041
18097320901,2024,305659.5079597998,NA,1.0036430697461278
18097320901,2025,326911.4115244342,NA,0.9634788689785725
18097320901,2026,327132.71703641233,NA,0.9643311865185101
18097320901,2027,350407.8967404912,NA,0.9194769109067067
18097320901,2028,375668.0515174768,NA,0.867557478796724
18097320902,2024,305659.5079597998,NA,1.0036430697461278
18097320902,2025,326911.4115244342,NA,0.9634788689785725
18097320902,2026,327132.71703641233,NA,0.9643311865185101
18097320902,2027,350407.8967404912,NA,0.9194769109067067
18097320902,2028,375668.0515174768,NA,0.867557478796724
18097320903,2024,305529.37345680594,NA,1.001688096340969
18097320903,2025,326783.7899426533,NA,0.9615991581691403
18097320903,2026,327004.84477484255,NA,0.9624473293357366
18097320903,2027,350282.88831366075,NA,0.9176616680584562
18097320903,2028,375546.5538727458,NA,0.8658070531606019
18097321001,2024,274312.01182647474,NA,0.532718604296169
18097321001,2025,298466.9712986559,NA,0.5445268311294179
18097321001,2026,298513.74717304506,NA,0.5427068930335329
18097321001,2027,324906.44166194036,NA,0.5491712033234706
18097321001,2028,353693.7517208442,NA,0.5509721014833491
18097321002,2024,273987.0626198226,NA,0.5278369853371876
18097321002,2025,298198.3401802027,NA,0.540570221204513
18097321002,2026,298242.63016453845,NA,0.5387127060411604
18097321002,2027,324698.12760413386,NA,0.5461462824184492
