GEOID,year,zhvi_forecast,NAME,zhvi_delta,zhvi_delta_zscore
18097320105,2028,402829.44991181983,NA,0.07234267971773645,-1.2075389355140718
18097320106,2025,326911.4115244342,NA,0.06952803041033051,-1.2051154907695043
18097320106,2026,350351.47623290285,NA,0.07170157994535664,-1.207954558096313
18097320106,2027,375653.6576701891,NA,0.07221942293306083,-1.207741108843892
18097320106,2028,402829.44991181983,NA,0.07234267971773645,-1.2075389355140718
18097320107,2025,326911.4115244342,NA,0.06952803041033051,-1.2051154907695043
18097320107,2026,350351.47623290285,NA,0.07170157994535664,-1.207954558096313
18097320107,2027,375653.6576701891,NA,0.07221942293306083,-1.207741108843892
18097320107,2028,402829.44991181983,NA,0.07234267971773645,-1.2075389355140718
18097320108,2025,326911.4115244342,NA,0.06952803041033051,-1.2051154907695043
18097320108,2026,350351.47623290285,NA,0.07170157994535664,-1.207954558096313
18097320108,2027,375653.6576701891,NA,0.07221942293306083,-1.207741108843892
18097320108,2028,402829.44991181983,NA,0.07234267971773645,-1.2075389355140718
18097320109,2025,326911.4115244342,NA,0.06952803041033051,-1.2051154907695043
18097320109,2026,350351.47623290285,NA,0.07170157994535664,-1.207954558096313
18097320109,2027,375653.6576701891,NA,0.07221942293306083,-1.207741108843892
18097320109,2028,402829.44991181983,NA,0.07234267971773645,-1.2075389355140718
18097320202,2025,369662.87544450304,NA,0.06911506037182602,-1.220845554820111
18097320202,2026,395392.0065353211,NA,0.06960160946613847,-1.2872414757850676
18097320202,2027,422929.9474505896,NA,0.06964718674151671,-1.303554123067774
18097320202,2028,452387.6337425845,NA,0.06965145521040772,-1.3068568058612888
18097320206,2025,348725.99647422566,NA,0.08052668560492848,-0.7861757746872146
18097320206,2026,377215.8042992281,NA,0.08169682820623358,-0.8305719072535891
18097320206,2027,408147.9651275449,NA,0.08200123238680557,-0.8433792934678596
18097320206,2028,441648.9056093694,NA,0.08208038099946324,-0.8481754744781027
18097320301,2025,369662.87544450304,NA,0.06911506037182602,-1.220845554820111
18097320301,2026,395392.0065353211,NA,0.06960160946613847,-1.2872414757850676
18097320301,2027,422929.9474505896,NA,0.06964718674151671,-1.303554123067774
18097320301,2028,452387.6337425845,NA,0.06965145521040772,-1.3068568058612888
18097320305,2025,369662.87544450304,NA,0.06911506037182602,-1.220845554820111
18097320305,2026,395392.0065353211,NA,0.06960160946613847,-1.2872414757850676
18097320305,2027,422929.9474505896,NA,0.06964718674151671,-1.303554123067774
18097320305,2028,452387.6337425845,NA,0.06965145521040772,-1.3068568058612888
18097320306,2025,369662.87544450304,NA,0.06911506037182602,-1.220845554820111
18097320306,2026,395392.0065353211,NA,0.06960160946613847,-1.2872414757850676
18097320306,2027,422929.9474505896,NA,0.06964718674151671,-1.303554123067774
18097320306,2028,452387.6337425845,NA,0.06965145521040772,-1.3068568058612888
18097320400,2025,369662.87544450304,NA,0.06911506037182602,-1.220845554820111
18097320400,2026,395392.0065353211,NA,0.06960160946613847,-1.2872414757850676
18097320400,2027,422929.9474505896,NA,0.06964718674151671,-1.303554123067774
18097320400,2028,452387.6337425845,NA,0.06965145521040772,-1.3068568058612888
18097320500,2025,369662.87544450304,NA,0.06911506037182602,-1.220845554820111
18097320500,2026,395392.0065353211,NA,0.06960160946613847,-1.2872414757850676
18097320500,2027,422929.9474505896,NA,0.06964718674151671,-1.303554123067774
18097320500,2028,452387.6337425845,NA,0.06965145521040772,-1.3068568058612888
18097320600,2025,369662.87544450304,NA,0.06911506037182602,-1.220845554820111
18097320600,2026,395392.0065353211,NA,0.06960160946613847,-1.2872414757850676
18097320600,2027,422929.9474505896,NA,0.06964718674151671,-1.303554123067774
18097320600,2028,452387.6337425845,NA,0.06965145521040772,-1.3068568058612888
18097320700,2025,369630.323097554,NA,0.06911540854595555,-1.2208322928377693
18097320700,2026,395357.6997577403,NA,0.06960299264569891,-1.2871892521728585
18097320700,2027,422893.8578786106,NA,0.0696487209879646,-1.3034969740480933
18097320700,2028,452349.6874307289,NA,0.06965300867664403,-1.306799476211597
18097320800,2025,330552.1709576837,NA,0.06942738070403909,-1.2089492466816092
18097320800,2026,354175.7036716905,NA,0.07146688114485555,-1.2168158943203857
18097320800,2027,379651.3392268325,NA,0.07192937090556928,-1.2185452329469089
18097320800,2028,406999.2019679836,NA,0.07203415322291651,-1.2189249028786537
18097320901,2025,326911.4115244342,NA,0.06952803041033051,-1.2051154907695043
18097320901,2026,350351.47623290285,NA,0.07170157994535664,-1.207954558096313
18097320901,2027,375653.6576701891,NA,0.07221942293306083,-1.207741108843892
18097320901,2028,402829.44991181983,NA,0.07234267971773645,-1.2075389355140718
18097320902,2025,326911.4115244342,NA,0.06952803041033051,-1.2051154907695043
18097320902,2026,350351.47623290285,NA,0.07170157994535664,-1.207954558096313
18097320902,2027,375653.6576701891,NA,0.07221942293306083,-1.207741108843892
18097320902,2028,402829.44991181983,NA,0.07234267971773645,-1.2075389355140718
18097320903,2025,326783.7899426533,NA,0.06956586938064979,-1.2036742011570984
18097320903,2026,350226.5664179342,NA,0.07173788050929586,-1.2065839865318138
