GEOID,NAME,year,percent_bachelors_plus,edu_delta,edu_delta_zscore_raw,edu_delta_zscore
18097360601,NA,2027,28.06192524328026,0.02653831771862758,0.17298504875351275,0.17298504875351275
18097360601,NA,2028,28.78729838436919,0.025849015518371488,0.23708585758402406,0.23708585758402406
18097360602,NA,2024,15.922597205181022,0.007762490828701285,-0.026743007218003167,-0.026743007218003167
18097360602,NA,2025,15.81844581955576,-0.006541105341242415,-0.4315257890369581,-0.4315257890369581
18097360602,NA,2026,15.602452390920824,-0.013654529092100298,-0.5010868150955416,-0.5010868150955416
18097360602,NA,2027,15.331305817034616,-0.01737845866102372,-0.5462488012330432,-0.5462488012330432
18097360602,NA,2028,15.032961336625494,-0.019459821881423256,-0.450719537053101,-0.450719537053101
18097360700,NA,2024,45.353329528854026,0.010690786370706196,-0.0034906207609323695,-0.0034906207609323695
18097360700,NA,2025,45.87503975111034,0.011503239732915338,-0.1620632422461514,-0.1620632422461514
18097360700,NA,2026,46.39403064453772,0.011313143187299701,-0.09316311752128459,-0.09316311752128459
18097360700,NA,2027,46.91319770325526,0.011190384872900916,-0.07837112398875337,-0.07837112398875337
18097360700,NA,2028,47.432353349520895,0.011066302696940422,0.01267865118773405,0.01267865118773405
18097360800,NA,2024,20.54410512228724,0.033625288965076994,0.17862279978536996,0.17862279978536996
18097360800,NA,2025,21.881157258676943,0.06508203343153673,0.6380477146589242,0.6380477146589242
18097360800,NA,2026,22.901917046948775,0.046650173763869374,0.4841759316612083,0.4841759316612083
18097360800,NA,2027,24.072276576668074,0.05110312500565217,0.5752878217642121,0.5752878217642121
18097360800,NA,2028,25.171878521594937,0.04567918374586344,0.5381153579236745,0.5381153579236745
18097360900,NA,2024,25.54835859037196,0.1540190580152776,1.1346200360007777,1.1346200360007777
18097360900,NA,2025,23.74453132574821,-0.07060442878328532,-1.3882059134543765,-1.3882059134543765
18097360900,NA,2026,26.108143402967393,0.09954342938140526,1.3483498989736344,1.3483498989736344
18097360900,NA,2027,25.140549503157622,-0.03706099989093048,-0.8685937243650665,-0.8685937243650665
18097360900,NA,2028,26.835725796539464,0.06742797301104853,0.8682702557734274,0.8682702557734274
18097361000,NA,2024,65.54204115797204,0.03474101692875675,0.18748233510900733,0.18748233510900733
18097361000,NA,2025,66.25453886517582,0.01087085013856215,-0.1715069383159224,-0.1715069383159224
18097361000,NA,2026,67.65007947282906,0.021063320816300468,0.06613601400846389,0.06613601400846389
18097361000,NA,2027,68.7320905978923,0.015994232874446457,3.024576747388322e-4,3.024576747388322e-4
18097361000,NA,2028,69.95801762690311,0.01783631224289306,0.11544997251658705,0.11544997251658705
18097361100,NA,2024,49.17393464166913,0.006802298197020162,-0.03436750065618765,-0.03436750065618765
18097361100,NA,2025,49.920861165698696,0.015189480554534285,-0.10701531250442642,-0.10701531250442642
18097361100,NA,2026,50.76292579365898,0.016867990821818557,-0.0024076013010516538,-0.0024076013010516538
18097361100,NA,2027,51.62681694990745,0.017018151391825054,0.017071376480627332,0.017071376480627332
18097361100,NA,2028,52.49571553553943,0.016830372991522236,0.10017943185660494,0.10017943185660494
18097361200,NA,2024,38.56256112298837,0.0700284708178045,0.4676854440999878,0.4676854440999878
18097361200,NA,2025,40.423379772846125,0.0482545400426857,0.3867568417549703,0.3867568417549703
18097361200,NA,2026,42.43079604129826,0.04965978301993901,0.5333471528407878,0.5333471528407878
18097361200,NA,2027,44.40579405270486,0.04654633416456111,0.5006603447406487,0.5006603447406487
18097361200,NA,2028,46.387960962214635,0.04463757380753419,0.5223033226606875,0.5223033226606875
18097361300,NA,2024,12.293230730289224,0.00526902907365101,-0.046542558019032856,-0.046542558019032856
