GEOID,year,zori_forecast,NAME,zori_zscore_raw,zori_zscore
18063210611,2027,2503.3584153125644,NA,1.2612322158098823,1.2612322158098823
18063210611,2028,2737.021435976542,NA,1.103459069170084,1.103459069170084
18063210616,2024,1998.840262735416,NA,1.6944442199938603,1.6944442199938603
18063210616,2025,2116.79883211636,NA,1.5380797728758886,1.5380797728758886
18063210616,2026,2334.482952021144,NA,1.4714351391861151,1.4714351391861151
18063210616,2027,2503.3584153125644,NA,1.2612322158098823,1.2612322158098823
18063210616,2028,2737.021435976542,NA,1.103459069170084,1.103459069170084
18063210617,2024,1998.840262735416,NA,1.6944442199938603,1.6944442199938603
18063210617,2025,2116.79883211636,NA,1.5380797728758886,1.5380797728758886
18063210617,2026,2334.482952021144,NA,1.4714351391861151,1.4714351391861151
18063210617,2027,2503.3584153125644,NA,1.2612322158098823,1.2612322158098823
18063210617,2028,2737.021435976542,NA,1.103459069170084,1.103459069170084
18097310104,2024,1669.201997988326,NA,0.8691160931102746,0.8691160931102746
18097310104,2025,1802.0916751286788,NA,0.8313264481888409,0.8313264481888409
18097310104,2026,1951.8975332807977,NA,0.742239559252475,0.742239559252475
18097310104,2027,2111.3187738963034,NA,0.6417632355895254,0.6417632355895254
18097310104,2028,2285.028251675553,NA,0.5304954475749519,0.5304954475749519
18097310105,2024,1669.201997988326,NA,0.8691160931102746,0.8691160931102746
18097310105,2025,1802.0916751286788,NA,0.8313264481888409,0.8313264481888409
18097310105,2026,1951.8975332807977,NA,0.742239559252475,0.742239559252475
18097310105,2027,2111.3187738963034,NA,0.6417632355895254,0.6417632355895254
18097310105,2028,2285.028251675553,NA,0.5304954475749519,0.5304954475749519
18097310106,2024,1723.7552933974816,NA,1.0057032977235183,1.0057032977235183
18097310106,2025,1945.027018807716,NA,1.1523233722098594,1.1523233722098594
18097310106,2026,2178.4995303080486,NA,1.1741357229391283,1.1741357229391283
18097310106,2027,2430.972214794591,NA,1.1468534615213999,1.1468534615213999
18097310106,2028,2707.682637735501,NA,1.0662681010818538,1.0662681010818538
18097310108,2024,2075.805322336764,NA,1.8871446291074687,1.8871446291074687
18097310108,2025,2627.64975584408,NA,2.6853227914963664,2.6853227914963664
18097310108,2026,3326.2649260850044,NA,3.3617398824415092,3.3617398824415092
18097310108,2027,4210.62228311325,NA,3.958910959043439,3.958910959043439
18097310108,2028,5330.104619643668,NA,4.390549192683923,4
18097310110,2024,1580.0512280931753,NA,0.645905847830509,0.645905847830509
18097310110,2025,1715.191177358417,NA,0.6361697307377152,0.6361697307377152
18097310110,2026,1855.208140528486,NA,0.55795266705049,0.55795266705049
18097310110,2027,2001.1147904269117,NA,0.46762791343336774,0.46762791343336774
18097310110,2028,2153.9116334902187,NA,0.3642870731655974,0.3642870731655974
