GEOID,NAME,year,call_volume,call_volume_zscore_raw,income_z,white_z,zori_z,stage_score,valid_n,stage_weight,call_volume_zscore_adj_raw,call_volume_zscore
18097310306,NA,2028,861.4795574906765,-0.13925793203347053,-0.3764870615821278,-1.9412737772446351,0.6844980667012147,-0.5444209240418494,3,early,-0.13925793203347053,-0.13925793203347053
18097310308,NA,2024,423.7258562303499,-0.6505230328546044,0.02043661879310212,-1.181661925130905,-2.8562046718523693,-1.3391433260633907,3,early,-0.6505230328546044,-0.6505230328546044
18097310308,NA,2025,455.3382579076402,-0.607072002943667,0.02043661879310212,-1.181661925130905,-2.8562046718523693,-1.3391433260633907,3,early,-0.607072002943667,-0.607072002943667
18097310308,NA,2026,510.2439936351351,-0.5956018254377512,0.02043661879310212,-1.181661925130905,-2.8562046718523693,-1.3391433260633907,3,early,-0.5956018254377512,-0.5956018254377512
18097310308,NA,2027,562.3094036496848,-0.5521554315144744,0.02043661879310212,-1.181661925130905,-2.8562046718523693,-1.3391433260633907,3,early,-0.5521554315144744,-0.5521554315144744
18097310308,NA,2028,623.8192385145014,-0.5279543716276843,0.02043661879310212,-1.181661925130905,-2.8562046718523693,-1.3391433260633907,3,early,-0.5279543716276843,-0.5279543716276843
18097310309,NA,2024,446.5528171358831,-0.5895368614989521,-0.8078972298559849,-1.1348767894517464,0.6844980667012147,-0.41942531753550555,3,middle,0,0
18097310309,NA,2025,474.9138563109334,-0.5577766284243875,-0.8078972298559849,-1.1348767894517464,0.6844980667012147,-0.41942531753550555,3,middle,0,0
18097310309,NA,2026,533.608037654569,-0.5451678223758832,-0.8078972298559849,-1.1348767894517464,0.6844980667012147,-0.41942531753550555,3,middle,0,0
18097310309,NA,2027,585.5398840348955,-0.5076109606764473,-0.8078972298559849,-1.1348767894517464,0.6844980667012147,-0.41942531753550555,3,middle,0,0
18097310309,NA,2028,649.1020780682268,-0.48660396967711733,-0.8078972298559849,-1.1348767894517464,0.6844980667012147,-0.41942531753550555,3,middle,0,0
18097310310,NA,2024,403.7326946983937,-0.7039382194041883,0.3369027963895692,-1.1286937420439824,0.6844980667012147,-0.0357642929843995,3,middle,0,0
18097310310,NA,2025,429.37416743567655,-0.6724549116803208,0.3369027963895692,-1.1286937420439824,0.6844980667012147,-0.0357642929843995,3,middle,0,0
18097310310,NA,2026,482.4401453521486,-0.6556196617450907,0.3369027963895692,-1.1286937420439824,0.6844980667012147,-0.0357642929843995,3,middle,0,0
