GEOID,NAME,year,call_volume,call_volume_delta,call_volume_delta_zscore,income_z,white_z,zori_z,stage_score,valid_n,stage_weight,call_volume_delta_zscore_adj
18097330212,NA,2028,330.3247072695507,0.11548014698663,0.28878484817672684,0.5233206913759461,-0.7073672189656669,0.765862263342718,0.1939385785843324,3,middle,0
18097330401,NA,2024,603.0762921220914,0.21844311497378355,0.15751758405865154,1.2541183280674657,0.7877350089184323,0.04934493325826602,0.697066090081388,3,late,-0.15751758405865154
18097330401,NA,2025,635.2035798518639,0.05327234406234682,0.13190371810492502,1.2541183280674657,0.7877350089184323,0.04934493325826602,0.697066090081388,3,late,-0.13190371810492502
18097330401,NA,2026,704.9146897610043,0.10974609104910549,-0.2803652221286117,1.2541183280674657,0.7877350089184323,0.04934493325826602,0.697066090081388,3,late,0.2803652221286117
18097330401,NA,2027,767.7634273302713,0.08915793426091789,0.22524719027230705,1.2541183280674657,0.7877350089184323,0.04934493325826602,0.697066090081388,3,late,-0.22524719027230705
18097330401,NA,2028,841.8490173663497,0.0964953361918981,-0.19260292528084905,1.2541183280674657,0.7877350089184323,0.04934493325826602,0.697066090081388,3,late,0.19260292528084905
18097330500,NA,2024,775.4040657353405,0.19793759631909946,-0.07131978006391339,0.21333718373752245,-0.3628290664603131,-0.5397076636663645,-0.22973318212971838,3,middle,0
18097330500,NA,2025,792.4745453287874,0.022014947235617477,-0.4105288247385306,0.21333718373752245,-0.3628290664603131,-0.5397076636663645,-0.22973318212971838,3,middle,0
18097330500,NA,2026,878.528356348825,0.10858873830999216,-0.3060351001918819,0.21333718373752245,-0.3628290664603131,-0.5397076636663645,-0.22973318212971838,3,middle,0
18097330500,NA,2027,934.2162279627098,0.06338767691611502,-0.31203332618583074,0.21333718373752245,-0.3628290664603131,-0.5397076636663645,-0.22973318212971838,3,middle,0
18097330500,NA,2028,1014.8330776595031,0.08629356596876758,-0.4512837994879994,0.21333718373752245,-0.3628290664603131,-0.5397076636663645,-0.22973318212971838,3,middle,0
18097330600,NA,2024,620.924808909378,0.19793768120607536,-0.07131883274274883,-0.557475309141717,-0.5981272277282932,-0.5397076636663645,-0.5651034001787916,3,early,-0.07131883274274883
18097330600,NA,2025,634.5943610404665,0.022014826811475485,-0.4105309145470301,-0.557475309141717,-0.5981272277282932,-0.5397076636663645,-0.5651034001787916,3,early,-0.4105309145470301
18097330600,NA,2026,703.5042020039771,0.10858880127854831,-0.30603370356049764,-0.557475309141717,-0.5981272277282932,-0.5397076636663645,-0.5651034001787916,3,early,-0.30603370356049764
18097330600,NA,2027,748.0976447950012,0.0633875997669906,-0.3120349346572115,-0.557475309141717,-0.5981272277282932,-0.5397076636663645,-0.5651034001787916,3,early,-0.3120349346572115
18097330600,NA,2028,812.6536697344886,0.08629358131073595,-0.4512834104698485,-0.557475309141717,-0.5981272277282932,-0.5397076636663645,-0.5651034001787916,3,early,-0.4512834104698485
18097330701,NA,2024,273.68820016352277,0.1979380066454559,-0.0713152009063012,-1.0359095148269657,-1.1479306030112806,-0.5397076636663645,-0.9078492605015369,3,early,-0.0713152009063012
18097330701,NA,2025,279.71327384797684,0.022014371393630494,-0.41053881774706574,-1.0359095148269657,-1.1479306030112806,-0.5397076636663645,-0.9078492605015369,3,early,-0.41053881774706574
18097330701,NA,2026,310.08707043699604,0.10858904252619506,-0.30602835273056844,-1.0359095148269657,-1.1479306030112806,-0.5397076636663645,-0.9078492605015369,3,early,-0.30602835273056844
18097330701,NA,2027,329.74265537555965,0.06338730896087874,-0.312040997633451,-1.0359095148269657,-1.1479306030112806,-0.5397076636663645,-0.9078492605015369,3,early,-0.312040997633451
18097330701,NA,2028,358.19734990949246,0.08629364163251618,-0.4512818809224754,-1.0359095148269657,-1.1479306030112806,-0.5397076636663645,-0.9078492605015369,3,early,-0.4512818809224754
18097330702,NA,2024,209.1550027871474,0.19917177461327662,-0.057546604537223184,-0.4466117807729432,-0.2845918370022704,0.5646744989794703,-0.05550970626524778,3,middle,0
18097330702,NA,2025,223.27521227517065,0.0675107422718122,0.3789930899291798,-0.4466117807729432,-0.2845918370022704,0.5646744989794703,-0.05550970626524778,3,middle,0
18097330702,NA,2026,249.2517869468478,0.11634329851028369,-0.13404033312693772,-0.4466117807729432,-0.2845918370022704,0.5646744989794703,-0.05550970626524778,3,middle,0
18097330702,NA,2027,273.5049008062965,0.09730367094467662,0.3950765231277864,-0.4466117807729432,-0.2845918370022704,0.5646744989794703,-0.05550970626524778,3,middle,0
18097330702,NA,2028,302.11008480457053,0.10458746411470332,0.012584868551367286,-0.4466117807729432,-0.2845918370022704,0.5646744989794703,-0.05550970626524778,3,middle,0
18097330803,NA,2024,344.0280907257577,0.19878203581739884,-0.061896009214417284,-0.936036909128174,-1.848667814664107,0.765862263342718,-0.672947486816521,3,early,-0.061896009214417284
18097330803,NA,2025,374.5539128518223,0.08873060935712451,0.7472370139415335,-0.936036909128174,-1.848667814664107,0.765862263342718,-0.672947486816521,3,early,0.7472370139415335
18097330803,NA,2026,420.6526966250163,0.12307649764543016,0.01530082703426188,-0.936036909128174,-1.848667814664107,0.765862263342718,-0.672947486816521,3,early,0.01530082703426188
18097330803,NA,2027,467.7159622666983,0.11188152606480428,0.6990081999829137,-0.936036909128174,-1.848667814664107,0.765862263342718,-0.672947486816521,3,early,0.6990081999829137
18097330803,NA,2028,521.7278950367463,0.11548019979538271,0.2887861872202474,-0.936036909128174,-1.848667814664107,0.765862263342718,-0.672947486816521,3,early,0.2887861872202474
18097330804,NA,2024,295.2893790692449,0.1987982610065393,-0.06171493944594082,-0.3128450123493559,-0.732573789565855,0.755768572902197,-0.09655007633767128,3,middle,0
18097330804,NA,2025,321.11309173188323,0.08745222311765821,0.7250522394878656,-0.3128450123493559,-0.732573789565855,0.755768572902197,-0.09655007633767128,3,middle,0
18097330804,NA,2026,360.4805669927744,0.12259691764221636,0.0046638277962314225,-0.3128450123493559,-0.732573789565855,0.755768572902197,-0.09655007633767128,3,middle,0
18097330804,NA,2027,400.4962788126294,0.11100657146008386,0.6807663929411063,-0.3128450123493559,-0.732573789565855,0.755768572902197,-0.09655007633767128,3,middle,0
18097330804,NA,2028,446.46329435871166,0.11477513769257208,0.2709083016046843,-0.3128450123493559,-0.732573789565855,0.755768572902197,-0.09655007633767128,3,middle,0
18097330805,NA,2024,690.3721208015637,0.1979376382990241,-0.07131931157660203,-1.2332525185751213,-1.3400900230629929,-0.5397076636663645,-1.0376834017681595,3,early,-0.07131931157660203
18097330805,NA,2025,705.5705835227392,0.022014884818247316,-0.41052990791295496,-1.2332525185751213,-1.3400900230629929,-0.5397076636663645,-1.0376834017681595,3,early,-0.41052990791295496
